ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,8.9,66.7123705058,2.11227015062,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,2.8,44.5155393053,-0.328177809941,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0.1,22.4913670526,-0.285063725143,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,1.3,35.7759496242,0.404519917478,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,4.1,50.629697339,-1.23524420895,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,19.0889701402,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,19.0889701402,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,44.3,93.4541945968,4.3407091477,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,12.5,74.3550680479,0.825376553413,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,2.3,41.8951858623,0.661816198398,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,57.1,95.2925045704,1.49017759645,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,7.8,63.5435709933,-0.57883240203,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,19.0889701402,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,9.4,68.0225472273,0.817237081805,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0.2,24.7003859435,-0.167360842634,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,4.1,50.629697339,0.696733298965,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,4.8,53.7121673776,-0.94982657933,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0,19.0889701402,-0.768086104189,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,16.2,79.4281941905,0.935276933195,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,0.6,30.2305504774,-0.528190149411,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,19.0889701402,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,0,19.0889701402,-0.266027334727,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,19.0889701402,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,228.6,99.2788949827,4.81098721491,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,7.6,63.0357505586,-0.519603776674,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,6.8,60.8470444851,-1.31402923938,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,19.0889701402,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,14.1,76.8078407475,0.965681439711,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,6.1,58.5669307333,1.28782105151,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,19.0889701402,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,7.8,63.5435709933,-0.256792565688,NA,NA,NA,NA
ENSG00000169740,ZNF32,21.8,84.7755433679,0.298790692346,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,2.5,42.9362177534,0.391288746528,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,31.1,89.6760105627,0.255932238683,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,2.6,43.5100548446,-0.303111880857,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0,19.0889701402,-0.287732377787,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,10.3,70.0995328052,0.829855614598,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,16.9,80.2508632947,0.437842677455,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0.1,22.4913670526,-0.263590653682,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,39.7,92.3928498883,0.256612741189,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,3,45.4194596791,-0.829997860849,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,19.0889701402,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,41.4,92.8803575056,0.049430356031,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,2.6,43.5100548446,0.133162879552,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,10.4,70.3534430225,0.127867979459,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0.5,29.0422506602,-0.0734925975445,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,9.7,68.7842778793,-0.33208759999,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,19.0889701402,nan,ENSMUSG00000060373,84,0,NM_001146181
ENSG00000105877,DNAH11,0,19.0889701402,-0.340457389894,ENSMUSG00000018581,84,1,NM_001277115
ENSG00000105875,WDR91,3.6,48.4003656307,0.0660386719832,ENSMUSG00000058486,92,1,NM_014149
ENSG00000135074,ADAM19,2.6,43.5100548446,-0.518651019031,ENSMUSG00000011256,84,0,NM_033274
ENSG00000135077,HAVCR2,5.6,56.7286207597,0.108585449015,ENSMUSG00000020399,61,1,NM_032782
ENSG00000131023,LATS1,5.7,57.1348771075,-0.451145083182,ENSMUSG00000040021,93,0,NM_001270519
ENSG00000057294,PKP2,0.8,32.0536258379,-0.606086149339,ENSMUSG00000041957,74,1,NM_004572
ENSG00000254415,SIGLEC14,0.9,32.947389803,-0.367067009837,NA,NA,NA,NM_001098612
ENSG00000131759,RARA,8.9,66.7123705058,-0.990299057854,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000142279,WTIP,2.1,40.7982937233,-0.846728933782,ENSMUSG00000036459,83,1,NM_001080436
ENSG00000146083,RNF44,11.1,71.8108876701,-0.0643233978515,ENSMUSG00000034928,84,0,NM_014901
ENSG00000136250,AOAH,3.2,46.4655697745,-0.526385751083,ENSMUSG00000021322,61,1,NM_001177507
ENSG00000149792,MRPL49,14.5,77.37152143,-0.964890579849,ENSMUSG00000007338,83,1,NM_004927
ENSG00000149021,SCGB1A1,0.4,27.8133252082,-0.201998554525,ENSMUSG00000024653,55,1,NM_003357
ENSG00000146085,MUT,14.5,77.37152143,-0.0879944351788,ENSMUSG00000023921,95,1,NM_000255
ENSG00000132591,ERAL1,17.6,81.0786106033,0.440943152078,ENSMUSG00000020832,78,1,NM_005702
ENSG00000102471,NDFIP2,51.3,94.5612431444,1.90885030661,ENSMUSG00000053253,81,0,NM_001161407
ENSG00000149798,CDC42EP2,6,58.2470038594,-0.0797787557468,ENSMUSG00000045664,89,1,NM_006779
ENSG00000177700,POLR2L,10,69.4647572618,-0.958064328037,ENSMUSG00000038489,100,0,NM_021128
ENSG00000183054,RGPD6,7.7,63.3252082064,0.404683031777,NA,NA,NA,NM_001037866
ENSG00000177706,FAM20C,9.3,67.7076985578,-0.167118989183,ENSMUSG00000025854,75,1,NM_020223
ENSG00000177707,PVRL3,11.2,71.9479991875,0.0668122419381,ENSMUSG00000022656,93,0,NM_001243288
ENSG00000174514,MFSD4,26.6,87.6802762543,1.31357990145,ENSMUSG00000059149,85,0,NM_181644
ENSG00000099256,PRTFDC1,24.9,86.9083891936,3.06876932721,NA,NA,NA,NM_001282786
ENSG00000180644,PRF1,0.2,24.7003859435,-0.586864640768,ENSMUSG00000037202,68,1,NM_001083116
ENSG00000121716,PILRB,8.3,65.04671948,-0.969610244287,ENSMUSG00000046245,40,1,NM_178238
ENSG00000187961,KLHL17,1.3,35.7759496242,-0.391813682104,ENSMUSG00000078484,98,1,NM_198317
ENSG00000147689,FAM83A,0,19.0889701402,-0.254554700967,ENSMUSG00000051225,82,1,NM_207006
ENSG00000147687,TATDN1,7.1,61.7255738371,-0.179890571515,ENSMUSG00000050891,80,1,NM_001146160
ENSG00000147684,NDUFB9,95.6,97.5573837091,-0.133366881705,ENSMUSG00000022354,87,1,NM_001278645
ENSG00000189182,KRT77,0,19.0889701402,-0.180318926688,ENSMUSG00000067594,73,1,NM_175078
ENSG00000187969,ZCCHC13,0,19.0889701402,-0.179605302027,ENSMUSG00000031330,61,1,NM_203303
ENSG00000188342,GTF2F2,10.8,71.2472069876,0.157788469124,ENSMUSG00000067995,98,0,NM_004128
ENSG00000188343,FAM92A1,6.3,59.2270972984,0.372246436244,ENSMUSG00000028218,86,0,NM_001283034
ENSG00000114529,C3orf52,0.2,24.7003859435,-0.831329325796,ENSMUSG00000033187,38,0,NM_001171747
ENSG00000147174,ACRC,0.6,30.2305504774,-0.214711915261,NA,NA,NA,NM_052957
ENSG00000166831,RBPMS2,1.9,39.6201503148,-0.449108161614,ENSMUSG00000032387,85,0,NM_194272
ENSG00000135617,PRADC1,9.1,67.2100345318,-0.40384521062,ENSMUSG00000030008,98,1,NM_032319
ENSG00000162849,KIF26B,1.5,37.177534024,1.61356859278,ENSMUSG00000026494,88,1,NM_018012
ENSG00000114520,SNX4,16.7,80.0223440991,-0.00859469691666,ENSMUSG00000022808,94,0,NM_003794
ENSG00000166839,ANKDD1A,1,33.8005281333,-0.245789942394,ENSMUSG00000066510,76,0,NM_182703
ENSG00000145198,VWA5B2,2.3,41.8951858623,0.180348888086,ENSMUSG00000046613,84,0,NM_138345
ENSG00000189157,FAM47E,2.8,44.5155393053,0.267184826478,ENSMUSG00000057068,31,0,NM_001136570
ENSG00000149243,KLHL35,1.6,37.939264676,1.87747195454,ENSMUSG00000035298,89,0,NM_001039548
ENSG00000184702,5-Sep,129.6,98.4156002438,3.86468547627,ENSMUSG00000072214,99,0,NM_001009939
ENSG00000169813,HNRNPF,31,89.6353849279,-1.51196760687,ENSMUSG00000042079,98,0,NM_001098208
ENSG00000145191,EIF2B5,10.7,71.0136095876,-0.785142872469,ENSMUSG00000003235,88,0,NM_003907
ENSG00000145192,AHSG,0.1,22.4913670526,-0.179439281831,ENSMUSG00000022868,53,1,NM_001622
ENSG00000069956,MAPK6,21,84.0849075767,1.60212228203,ENSMUSG00000042688,95,1,NM_002748
ENSG00000145194,ECE2,5.3,55.723136299,1.59319199627,ENSMUSG00000022842,92,1,NM_001100120
ENSG00000115694,STK25,47.2,93.9315458054,0.804740573949,ENSMUSG00000026277,99,1,NM_001282305
ENSG00000169814,BTD,6.6,60.1919561243,-0.727409539564,ENSMUSG00000021900,82,1,NM_001281725
ENSG00000163462,TRIM46,4.3,51.6504164128,5.25839166231,ENSMUSG00000042766,98,0,NM_001256600
ENSG00000214114,MYCBP,1.5,37.177534024,-1.58739131913,ENSMUSG00000028647,97,1,NM_012333
ENSG00000163464,CXCR1,0,19.0889701402,-0.480453264014,ENSMUSG00000026180,67,0,NM_000634
ENSG00000084710,EFR3B,16.2,79.4281941905,5.36244162405,ENSMUSG00000020658,98,0,NM_014971
ENSG00000105298,CACTIN,5.6,56.7286207597,0.833797425269,ENSMUSG00000034889,87,0,NM_021231
ENSG00000163468,CCT3,64.2,95.9729839529,-0.204560341721,ENSMUSG00000001416,97,1,NM_001008800
ENSG00000168036,CTNNB1,85.4,97.1968312005,-0.234350834224,ENSMUSG00000006932,100,0,NM_001098209
