ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,5,54.712573634,0.00337963224099,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,7.6,62.3705057892,0.154658508133,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,22.1511273614,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0.6,34.2270972984,-0.43448435581,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,31.3,89.1224862888,1.97801508414,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,22.1511273614,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0.2,28.717245582,0.0128767224774,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,16.4,78.2957546212,0.471128391768,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,15.1,76.4676010563,1.57917819166,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.3,30.5961811903,-0.228020707011,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,0.9,36.8728417632,-0.575760878309,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,7.5,62.1216737762,-0.609015949339,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,22.1511273614,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,7.4,61.8322161284,0.114237441543,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,22.1511273614,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,0.2,28.717245582,-0.898722035178,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,21.8,83.724355068,0.697831772569,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0,22.1511273614,-0.768086104189,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,7.3,61.563071298,-0.573029242196,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,2.2,44.1752996141,-0.0767154307159,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,22.1511273614,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,0.2,28.717245582,-0.265695746104,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,22.1511273614,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,3,47.5929311395,-0.325437834911,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,12,71.8007312614,0.757188749604,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,16.8,78.7426366037,0.329149176413,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,22.1511273614,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,8.6,64.8283566931,-0.438946108959,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,0.7,35.1513304895,-0.509719156091,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,22.1511273614,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,12.1,71.9886248223,0.823777985952,NA,NA,NA,NA
ENSG00000169740,ZNF32,19.2,81.3325208206,-0.0123405417364,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.6,34.2270972984,-0.223449129154,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,13.4,74.1113142393,-0.485551239527,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,0.1,26.1375177737,-0.609672569461,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0,22.1511273614,-0.287732377787,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,8.5,64.5846028844,0.00996396106721,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,20.4,82.480195003,1.01341051636,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,1.8,42.270972984,0.194534955273,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,24.5,85.4966483851,-0.080182826308,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,4.3,52.3105829779,-0.550193071454,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,22.1511273614,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,45,93.0276254316,0.271866958171,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,1.1,38.3404428194,-0.219976248542,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,13.4,74.1113142393,0.885604154033,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0,22.1511273614,-0.187655855866,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,10.8,69.5967905749,-0.295852375193,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,22.1511273614,nan,ENSMUSG00000060373,84,0,NM_001146181
ENSG00000105877,DNAH11,0,22.1511273614,-0.340457389894,ENSMUSG00000018581,84,1,NM_001277115
ENSG00000105875,WDR91,4.7,53.7121673776,0.606634312403,ENSMUSG00000058486,92,1,NM_014149
ENSG00000135074,ADAM19,24.1,85.2681291895,2.72527535454,ENSMUSG00000011256,84,0,NM_033274
ENSG00000135077,HAVCR2,19,81.1293926468,3.05551206532,ENSMUSG00000020399,61,1,NM_032782
ENSG00000131023,LATS1,8.5,64.5846028844,0.644318316631,ENSMUSG00000040021,93,0,NM_001270519
ENSG00000057294,PKP2,3.5,49.4160065001,-0.481613025253,ENSMUSG00000041957,74,1,NM_004572
ENSG00000254415,SIGLEC14,7.5,62.1216737762,0.788291447356,NA,NA,NA,NM_001098612
ENSG00000131759,RARA,13.7,74.5277269957,-0.428385739471,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000142279,WTIP,2.8,46.7245581962,-0.702385493016,ENSMUSG00000036459,83,1,NM_001080436
ENSG00000146083,RNF44,28.2,87.6041031891,2.48623916043,ENSMUSG00000034928,84,0,NM_014901
ENSG00000136250,AOAH,33.1,89.8537477148,2.10774545517,ENSMUSG00000021322,61,1,NM_001177507
ENSG00000149792,MRPL49,27.4,87.1724558196,0.214578864515,ENSMUSG00000007338,83,1,NM_004927
ENSG00000149021,SCGB1A1,0,22.1511273614,-0.202669924877,ENSMUSG00000024653,55,1,NM_003357
ENSG00000146085,MUT,10,67.9717651838,-0.531043339575,ENSMUSG00000023921,95,1,NM_000255
ENSG00000132591,ERAL1,17.2,79.2555352427,0.349020149691,ENSMUSG00000020832,78,1,NM_005702
ENSG00000102471,NDFIP2,12,71.8007312614,-0.695369855672,ENSMUSG00000053253,81,0,NM_001161407
ENSG00000149798,CDC42EP2,2,43.2612228316,-0.798911201915,ENSMUSG00000045664,89,1,NM_006779
ENSG00000177700,POLR2L,13.3,73.9284988828,-0.303655576157,ENSMUSG00000038489,100,0,NM_021128
ENSG00000183054,RGPD6,5.2,55.4235222425,-0.186095116803,NA,NA,NA,NM_001037866
ENSG00000177706,FAM20C,2.7,46.3436928702,-1.00549263563,ENSMUSG00000025854,75,1,NM_020223
ENSG00000177707,PVRL3,2.6,45.9577493398,-0.784425210903,ENSMUSG00000022656,93,0,NM_001243288
ENSG00000174514,MFSD4,0.4,32.0536258379,-0.458146915435,ENSMUSG00000059149,85,0,NM_181644
ENSG00000099256,PRTFDC1,4.1,51.609790778,-0.500914112481,NA,NA,NA,NM_001282786
