ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,5.6,57.6223847248,0.327824327376,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,3.6,49.5632744262,-0.247705090262,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,19.7186674792,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0.5,29.9309364209,-0.554342109136,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,13.2,76.1730652041,-0.160219960157,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,19.7186674792,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,19.7186674792,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,10.3,71.0288442007,-0.374908977809,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,8.7,67.2557383709,-0.27633353325,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,2.7,45.388990453,0.839783579479,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,15.7,79.6313223644,-0.0317059063075,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,22.5,85.7911842373,0.900161416085,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,19.7186674792,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,6.5,60.933373959,-0.202112396575,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,19.7186674792,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,0.8,32.9727808247,-0.653267368387,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,12.4,74.8578102783,-0.213226374952,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,28.8,89.1224862888,1.2819230288,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,8.2,65.8693885842,-0.420503898617,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,0.7,31.9977655901,-0.499972979493,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0.1,23.3140361568,-0.185088263483,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,7.9,65.0822669104,-0.252929584129,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,19.7186674792,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,0.7,31.9977655901,-0.377803870437,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,8.5,66.7276051188,-0.258441669026,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,13.4,76.4523664432,-0.229531484956,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,19.7186674792,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,8.5,66.7276051188,-0.464484791662,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,0.9,33.8106845419,-0.443143592846,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,19.7186674792,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,10.6,71.6026812919,0.446834770264,NA,NA,NA,NA
ENSG00000169740,ZNF32,10.8,71.9429209831,-1.01753375954,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.6,31.0735323989,-0.223449129154,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,5.9,58.7294332724,-0.799739154024,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,26,87.8529352021,2.56629616448,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0.1,23.3140361568,-0.254372102102,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,6.7,61.5427584806,-0.809927692463,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,11.6,73.4409912655,-0.433731478606,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0.7,31.9977655901,-0.101899262286,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,4.8,54.3977249645,-0.516687607867,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,4.4,52.853950843,-0.528669626116,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,19.7186674792,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,27.3,88.4623197237,-0.821779669016,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,0.5,29.9309364209,-0.36123189978,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,8.1,65.6002437538,-0.453063087714,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0,19.7186674792,-0.187655855866,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,17.4,81.4899451554,-0.0784410264082,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,19.7186674792,nan,ENSMUSG00000060373,84,0,NM_001146181
ENSG00000105877,DNAH11,0.3,27.3258175909,-0.0168543262324,ENSMUSG00000018581,84,1,NM_001277115
ENSG00000105875,WDR91,1.7,39.7115579931,-0.867717434197,ENSMUSG00000058486,92,1,NM_014149
ENSG00000135074,ADAM19,4.2,52.0363599431,-0.277242544718,ENSMUSG00000011256,84,0,NM_033274
ENSG00000135077,HAVCR2,3.1,47.247613244,-0.441214292833,ENSMUSG00000020399,61,1,NM_032782
ENSG00000131023,LATS1,5.9,58.7294332724,-0.372897697481,ENSMUSG00000040021,93,0,NM_001270519
ENSG00000057294,PKP2,20.3,84.2118626854,0.292886413503,ENSMUSG00000041957,74,1,NM_004572
ENSG00000254415,SIGLEC14,0.7,31.9977655901,-0.402077872177,NA,NA,NA,NM_001098612
ENSG00000131759,RARA,23.6,86.5173674589,0.730560479695,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000142279,WTIP,3,46.8159658745,-0.66114450994,ENSMUSG00000036459,83,1,NM_001080436
ENSG00000146083,RNF44,12.9,75.629697339,0.204156871442,ENSMUSG00000034928,84,0,NM_014901
ENSG00000136250,AOAH,10,70.2975827747,0.0726808777646,ENSMUSG00000021322,61,1,NM_001177507
ENSG00000149792,MRPL49,19.8,83.8360755637,-0.480302358521,ENSMUSG00000007338,83,1,NM_004927
ENSG00000149021,SCGB1A1,0,19.7186674792,-0.202669924877,ENSMUSG00000024653,55,1,NM_003357
ENSG00000146085,MUT,15.8,79.7379646557,0.0399974705358,ENSMUSG00000023921,95,1,NM_000255
ENSG00000132591,ERAL1,14.5,77.970749543,-0.271460116426,ENSMUSG00000020832,78,1,NM_005702
ENSG00000102471,NDFIP2,53.3,94.3733495836,2.04138059476,ENSMUSG00000053253,81,0,NM_001161407
ENSG00000149798,CDC42EP2,6.1,59.5063985375,-0.0618004445926,ENSMUSG00000045664,89,1,NM_006779
ENSG00000177700,POLR2L,12.8,75.4773512086,-0.402808417351,ENSMUSG00000038489,100,0,NM_021128
