mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1645.57457,94.2333040422,0.00746306560481,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.79039,28.2787785589,-0.581052981438,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,7501.34937,98.4512302285,1.23940070207,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1012.84076,91.2126537786,-0.31090858203,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.7820738137,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4660.0789,97.5010984183,0.777587157252,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1878.6989,94.7715289982,-0.539037416991,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,31.00284,55.7612038664,-0.560237264381,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,11.79348,46.8365553603,-0.127236955872,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.6477,23.7917398946,-0.348919886533,NA,NA,NA
ENSMUSG00000083012,Fam220a,41.49865,58.315026362,-0.328085750868,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,442.32213,84.0619507909,-0.238633501826,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.7820738137,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,22.13658,52.9327768014,-0.375519075927,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,6.1218,37.7636203866,-0.102991996903,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63722,22.1056678383,-0.107458402364,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,924.72877,90.4931898067,0.776051172552,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,20.44622,52.2297891037,-0.359063602586,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.7820738137,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.7820738137,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.7820738137,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,20.7820738137,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.80396,39.8011862917,-0.405066947579,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,122.63446,69.6781634446,-0.834636127386,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,150.97216,72.1001757469,-0.530477749577,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,20.7820738137,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,15.20696,49.3519332162,-0.105208638429,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.7820738137,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,261.23782,78.1799209139,-0.396231034427,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,20.7820738137,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.7820738137,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.7820738137,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,28.91373,55.1076449912,-0.322592848216,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.64057,23.006370826,-0.158874557391,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.7820738137,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,49.236599297,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,15974.80666,99.3189806678,-0.266915141366,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,25.8018453427,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.7820738137,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,20.7820738137,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,817.21981,89.4991212654,-0.0175865570307,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,20.7820738137,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,256.53478,77.9767135325,2.06749062727,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,17657.48526,99.4123462214,1.12597886839,ENSG00000119138,97,0
