ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0,31.2176165803,-0.770729119932,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,0,31.2176165803,-0.481897566129,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,31.2176165803,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,31.2176165803,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,0.9,61.7227979275,-1.41704909263,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0,31.2176165803,-0.488150238511,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,9,96.5025906736,0.58882344347,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,1.2,68.0051813472,-1.91746269175,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,8.7,96.2435233161,-1.39603199999,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,1,63.8601036269,-2.02916603283,NA,NA,NA,NM_001289166
ENSG00000198416,,0,31.2176165803,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0,31.2176165803,-0.494360144855,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,31.2176165803,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,31.2176165803,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,6.9,94.4948186528,-1.48423061067,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,31.2176165803,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,0.6,54.274611399,-2.34925463712,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,0.4,47.7331606218,-1.27618931847,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,31.2176165803,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,2.1,77.914507772,-1.95660466234,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,31.2176165803,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,0.9,61.7227979275,-1.50016359496,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,1.4,71.4378238342,-1.29148554669,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,1.1,65.8678756477,-1.92486838023,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,3.3,84.9093264249,-1.64586459597,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,1.4,71.4378238342,-0.686999872436,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,1.2,68.0051813472,-1.44361703526,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,5.9,93.0051813472,-1.73153829695,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,0.8,59.1968911917,-1.31185226132,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,31.2176165803,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,31.2176165803,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,0.9,61.7227979275,-1.72211443987,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,1,63.8601036269,-2.39219869499,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,31.2176165803,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,0.9,61.7227979275,-1.39672373529,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,31.2176165803,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,0,31.2176165803,-0.335082140871,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,1.9,76.4248704663,-1.77126741793,ENSMUSG00000025958,100,1,NM_004379
