mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.76156,26.3181019332,-0.582862307862,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,60.68188,62.8240333919,0.184930235865,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,21.7157293497,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.7157293497,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,21.7157293497,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,395.60316,81.2225395431,0.838210210885,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,16.94722,53.4819859402,-0.309544993705,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,21.7157293497,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,47.16304,60.973198594,0.822914812702,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,2495.85054,95.2932776801,1.88888951218,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.7157293497,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,23.4347539543,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,21.7157293497,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.4373,48.0887521968,-0.542587465672,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,11.60757,50.2526362039,-0.318551947213,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.17944,40.3668717047,-0.270454044699,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,21.7157293497,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1496.11607,92.6296133568,0.0407487065594,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,6.7515,42.6625659051,-0.386552770735,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,4577.47777,97.4791300527,0.535164966172,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.7157293497,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,66.04751,63.4940685413,-0.244084296802,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,7.61814,45.0351493849,-0.169964049872,ENSG00000142700,93,0
