ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,1,37.8886010363,0.0147273080242,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,5.6,70.9196891192,-0.0529057934002,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,23.2512953368,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,23.2512953368,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,4.4,65.8031088083,-0.0405573461031,NA,NA,NA,NM_023074
ENSG00000079263,SP140,2.8,56.1528497409,-0.207056013764,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,0.5,31.9948186528,-0.759324507909,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,6.9,75.7124352332,0.206066118057,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,17.3,90.8678756477,-0.670327416695,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,5,68.6528497409,-0.147041016872,NA,NA,NA,NM_001289166
ENSG00000198416,,0,23.2512953368,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.3,29.4041450777,-0.223168293963,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,23.2512953368,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,23.2512953368,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,20.4,92.6813471503,0.131258489379,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,23.2512953368,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,3.4,60.1683937824,0.291814565966,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,8.9,80.310880829,-0.650177605894,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,23.2512953368,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,3.9,62.9533678756,-1.03509666111,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,23.2512953368,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,3.1,58.5492227979,-0.487589126261,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,4.6,66.9041450777,0.033645916046,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,3.8,62.8238341969,-0.0477958288544,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,10.1,82.707253886,-0.849820728258,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,1,37.8886010363,-0.98815050145,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,3.7,62.3704663212,-0.012522080851,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,17.9,91.5155440415,-0.72256909205,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,6.1,72.6683937824,-0.00539222890738,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,23.2512953368,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,23.2512953368,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,8.9,80.310880829,1.51237783164,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,4.6,66.9041450777,-0.32482217839,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,23.2512953368,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,2.4,52.9792746114,-0.264245031001,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,23.2512953368,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,0.1,25.9067357513,-0.3259720062,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,12.2,85.7512953368,0.213130070003,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,4.6,66.9041450777,-0.66784591823,ENSMUSG00000025959,97,1,NM_001270944
