mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,33.91491,60.7535149385,1.24675706367,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,50.47525,64.0597539543,-0.12380001119,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,21.1829964851,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.1829964851,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,21.1829964851,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,73.16932,67.2451669596,-0.521212056807,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,56.84541,65.1032513181,-0.286681171427,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,40.17855,62.203427065,-0.175030621262,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,26.28902,58.4303602812,0.180704535599,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,6.55259,39.861599297,-0.550209946346,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.1829964851,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,22.5615114236,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,109.13732,71.1610281195,0.48041519147,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,484.84922,86.6487258348,0.802246910942,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,8.2274,45.0296572935,-0.397284824752,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,7.09765,42.0199912127,-0.0500692591619,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,21.1829964851,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,925.64466,91.9650702988,-0.483901281356,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,93.81026,69.485940246,-0.269837873706,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,661.45346,89.4881370826,-0.449549119124,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.1829964851,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.51385,65.4712214411,-0.405830345815,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.92341,26.5048330404,-0.173620748436,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,101.06415,70.3152460457,-1.10841173365,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,21.1829964851,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,389.91819,84.6770650264,-0.357888243962,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.70446,35.0834797891,0.01032504625,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,934.15874,92.025483304,-0.493982658162,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,88.25069,68.920254833,-0.178806807894,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,62.83298,65.9050966608,-0.298332100365,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,84.94346,68.4699033392,-0.531539379137,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.97049,36.7256151142,-0.0838352374039,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,482.43288,86.5828207381,1.11570306944,NA,NA,NA
ENSMUSG00000017688,Hnf4g,5.42167,33.0788664323,-0.110355352445,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,21.1829964851,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.86779,25.5217486819,-0.127484184729,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,5.11485,29.525483304,-0.0700960618909,NA,NA,NA
ENSMUSG00000038253,Hoxa5,16.33102,54.0806239016,-0.357958006682,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,442.38082,85.7919595782,-0.837734604128,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,21.1829964851,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,22.737258348,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,390.47371,84.6880492091,0.000516912851471,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,9.35534,47.1221441125,-0.508862561615,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,32.01612,60.1329086116,-0.447859058311,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,323.85194,82.8811511424,0.310267747728,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,6676.76838,98.8192003515,1.39218329229,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,15.29237,53.4325571178,0.932687030049,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,21.1829964851,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,32.61441,60.2757029877,-0.731220903761,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,6.40932,39.2080404218,-0.37935775021,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,95.63503,69.6891476274,-0.289485273945,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,21.1829964851,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,27.64313,58.8587434095,-0.115550092864,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,506.01001,87.1155536028,-0.460475700187,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,24.4288224956,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,12.33996,50.9995606327,-0.238227161022,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,7.14423,42.151801406,-0.0804064771446,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,21.1829964851,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,5.29568,31.744288225,-0.227384666897,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,82.92099,68.2502196837,-0.506608835199,ENSG00000196670,87,0
