mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2320.7405,94.9637521968,0.894481327269,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.95627,29.5309753954,-0.57064260797,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,5822.66242,97.9953866432,0.740366816309,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1393.91714,92.3550087873,0.196412398819,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,5.81376,37.0276801406,1.97440009884,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2465.64896,95.2328646749,-0.533433963089,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,4347.26319,97.3473198594,0.107933748469,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,72.55172,63.8620386643,-0.268634442616,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,14.05732,50.6480667838,-0.12304149326,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,23.4347539543,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,90.51137,65.8062390158,-0.196896443224,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,972.05087,89.8176625659,0.871528167024,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.0786467487,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,46.50757,60.0340509666,0.76296622271,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.0786467487,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.0786467487,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,1053.01281,90.4053163445,1.08529888535,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.73297,36.5608523726,-0.467320872492,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,18.95432,53.1195079086,-0.0981522913609,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.0786467487,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.0786467487,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.0786467487,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,5.89739,37.4890158172,-0.665092551075,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,1149.62564,90.9874780316,1.68472264168,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,99.48776,66.7893233743,-0.900482453177,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.0786467487,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,21.7596660808,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,21.0786467487,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,117.12398,68.5083479789,-0.767014504893,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.0786467487,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,21.0786467487,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,21.0786467487,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,4.7068,24.0059314587,-0.339215563717,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,21.0786467487,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.0786467487,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,51.158831283,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,30786.1715,99.6924428822,1.70198652348,NA,NA,NA
ENSMUSG00000020758,Itgb4,9.58169,46.5289982425,-0.330115908054,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.0786467487,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,12.21991,49.3189806678,0.510506564251,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,1191.51513,91.2675746924,0.757405242731,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,21.0786467487,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,102.65721,67.151801406,-0.437528974857,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,194.69243,73.868629174,-0.86598822467,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.77184,25.8677504394,-0.133254567117,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,23.08817,54.7836115993,-0.416746504092,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,335.53257,79.8605008787,0.154115291035,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,142.43416,70.5239455185,-0.935620391129,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,8.99946,45.6667398946,-0.494787159915,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,5.05533,30.8875219684,-0.129330197324,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,47046.08773,99.928602812,0.651606398754,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,5.03819,30.6513620387,-0.323982580611,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,5.0627,31.0193321617,-0.270950179778,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,37.0935852373,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,198.98737,74.0938049209,-0.919701189052,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,21.0786467487,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,109.27448,67.7449472759,-0.433922828652,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.79225,26.3345782074,-0.375070718118,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.6869,23.2260544815,-0.114117679855,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,4.83347,27.2517574692,-0.170784043207,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,1062.06698,90.4712214411,0.786717294472,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,121.5716,68.8323813708,1.30459116183,NA,NA,NA
ENSMUSG00000021598,Med10,2587.26318,95.4635325132,1.63700998559,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,21.0786467487,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,13.07028,50.0384446397,-0.0399182716871,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,21.0786467487,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,283.64014,77.9876977153,-0.401550088216,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,959.34422,89.7188049209,1.11850178009,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,53.80208,61.341168717,-0.295827434872,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,3174.87463,96.2818541301,0.971889265871,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,4207.09161,97.2264938489,0.250287294563,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,21.0786467487,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,26.71868,55.7941564148,-0.116805956158,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.63584,21.0786467487,-0.127576742456,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,24.55039,55.1845342707,-0.613975034837,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,1982.74427,94.2333040422,2.81860170828,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,6.56003,40.3833479789,-0.460522343202,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,5.87077,37.3077768014,-0.329173785055,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,6.89554,41.5092267135,-0.231382957857,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,4.74337,25.1867311072,-0.291424330907,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,867.71991,88.927943761,-0.708906767846,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,5.05024,30.8051405975,-0.354997979639,ENSG00000270898,76,1
