ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,4.8,53.4328661385,-0.104768599471,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,5.7,56.5153361771,-0.0364642011045,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,21.7956530571,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,1.2,37.7107454804,0.284662164151,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,26.1,87.6091813935,1.36371551341,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,1.2,37.7107454804,3.74735528261,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0.1,25.3300832826,-0.193150837162,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,15.7,78.8797481211,0.374042136242,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,8.4,64.797887467,-0.363310645355,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.2,27.7625431647,-0.272512552281,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,0.2,27.7625431647,-0.601493208066,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,3.8,49.8374974609,-0.981279699477,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,21.7956530571,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,6.5,59.1001421897,-0.202112396575,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,21.7956530571,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,3.6,49.0960796262,0.492187743305,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,11.1,71.003453179,-0.339223778332,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0,21.7956530571,-0.768086104189,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,7.6,62.4923826935,-0.522187461003,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,1.4,38.8431850498,-0.302452790064,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,21.7956530571,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,0.6,33.0184846638,-0.265032568859,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,21.7956530571,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,9.6,67.7127767621,-0.175170080794,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,15.5,78.5395084298,1.77281916823,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,21.6,84.7399959374,1.11787481599,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,21.7956530571,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
