mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1346.59059,91.8387521968,-0.385335561253,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,6.0978,34.5397627417,-0.499001942277,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3158.58203,96.1170913884,-0.0516012090633,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1941.67035,93.9971441125,0.92562761746,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,19.9307996485,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,1867.28735,93.7664762742,-0.890913914493,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,2653.30851,95.3811511424,-0.336024643863,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,55.39229,62.4780316344,-0.389064601212,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,4.91395,25.4338752197,-0.139986448285,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,187.17426,73.6764059754,0.941766451255,NA,NA,NA
ENSMUSG00000083012,Fam220a,139.28585,70.8369947276,-0.0663448178104,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,405.28965,81.7662565905,-0.316243109714,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.78406,23.6050087873,-0.107997417111,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,31.36481,57.5021968366,0.0555756062111,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,5.51591,30.9424428822,-0.107122854649,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,5.94598,33.7324253076,-0.106621457805,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,1222.32735,91.2346221441,1.49345670638,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.64103,20.3536906854,-0.47535515746,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.72343,22.3967486819,-0.116093304197,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,5.34353,29.5474516696,0.970723875061,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,19.9307996485,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,19.9307996485,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,36.8629173989,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,2150.22684,94.5518453427,4.13934295065,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,304.01537,78.8060193322,0.56940313772,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,19.9307996485,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64127,20.3701669596,-0.110518443146,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,19.9307996485,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,362.07581,80.6184094903,-0.136789887851,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,19.9307996485,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,5.40151,30.0032952548,-0.167641013482,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,19.9307996485,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,7.34129,39.6419156415,-0.337406479386,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,19.9307996485,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,19.9307996485,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,50.4009226714,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,25994.63952,99.6155536028,1.06503946327,NA,NA,NA
ENSMUSG00000020758,Itgb4,9.3492,44.019112478,-0.332934458096,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,19.9307996485,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,5.59305,31.6124780316,-0.0645487088924,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,1430.28973,92.1957381371,1.25179656184,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,19.9307996485,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,126.03479,69.9967047452,-0.0569582643217,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,12133.78562,99.0224077329,0.495894779207,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,5.71468,32.4307996485,-0.133058225518,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,18.44525,52.5702987698,-0.4725112781,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,835.48705,88.3952108963,2.82232396461,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,327.25569,79.6353251318,-0.0866880435722,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,9.65478,44.5243848858,-0.487861250915,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,19.9307996485,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,54207.98539,99.9780316344,1.21001487669,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,5.41849,30.1680579965,-0.321270587026,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,19.9307996485,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,33.1008347979,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,280.41032,77.8833479789,-0.683426548459,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,19.9307996485,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,956.7665,89.466168717,0.288949143542,ENSG00000121104,86,0
