mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,331.84412,79.5364674868,-1.71848732418,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,19.8997,49.0828207381,0.367184057067,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,254.54128,76.6201669596,-0.914903768179,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,3895.88406,96.4301405975,3.52724154101,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,14.8121704745,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,167.15191,71.7871265378,-1.9066280317,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,426.66139,82.0463532513,-0.919593193457,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,24.96043,51.5817223199,-0.602644756623,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,5094.70925,97.2923989455,9.29267923688,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.81686,20.4525483304,-0.347723718146,NA,NA,NA
ENSMUSG00000083012,Fam220a,97.08901,65.921572935,-0.179290482209,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,609.42564,85.3306239016,0.111568209964,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,2272.56864,94.0630492091,9.32728126507,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,9.13441,38.8181019332,-0.982912513591,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,1389.22457,91.4323374341,9.32677378901,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,14758.22235,99.4068541301,9.32737518331,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,264.89072,77.1034710018,-0.814586351663,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.31957,26.1368629174,-0.470362590357,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,14.8121704745,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,7.16462,34.2102372583,4.36634155379,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,14.8121704745,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,14.8121704745,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,8.0621,36.6981546573,-0.0442027972286,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,357.2061,80.3383128295,-0.259197769474,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,278.80775,77.7405536028,0.388242670344,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,1167.43182,90.3174428822,9.32706397272,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,15.328427065,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,652.34825,85.9786906854,9.32710465219,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,84.56986,64.5705184534,-0.850771412568,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,5.82713,29.256370826,-0.250993851118,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,14.8121704745,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,14.8121704745,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,100.75775,66.2675746924,-0.273258103789,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.88391,21.5564586995,-0.125194712827,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,5.90083,29.6463093146,-0.13489790026,ENSG00000133055,86,1
