ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,4.6,55.4235222425,-0.212916831183,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,3.8,52.122689417,-0.227586910342,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,21.6179159049,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,2.2,44.5307739183,1.48323969742,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,7.5,65.1939874061,-0.833586797312,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,21.6179159049,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0.5,32.6376193378,0.630959401394,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,7.4,64.9045297583,-0.777123464985,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,7.5,65.1939874061,-0.62424198167,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0,21.6179159049,-0.361496242822,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,0.1,25.4519601869,-0.605169255174,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,7,63.8381068454,-0.659321861519,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,21.6179159049,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,6.3,61.7103392241,-0.272412360602,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,21.6179159049,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,2.8,47.5218362787,0.16491485425,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,6.9,63.5588056063,-0.746292312331,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0.1,25.4519601869,-0.760968016922,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,11.5,74.1671744871,0.138755694506,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,1.5,40.7373552712,-0.274235620145,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,21.6179159049,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,0.1,25.4519601869,-0.265861540415,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,21.6179159049,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,31.1,89.6201503148,0.314338512164,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,12.4,75.6449319521,0.873260797447,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,19,83.2470038594,0.690648427888,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,21.6179159049,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,6.2,61.2888482633,-1.05187449383,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,2,43.4745074142,-0.0769779950015,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,21.6179159049,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,6,60.5321958156,-0.709124424514,NA,NA,NA,NA
ENSG00000169740,ZNF32,17.8,82.1044078814,-0.179872744704,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.6,33.7903717246,-0.223449129154,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,45.6,93.3424741012,0.863362206709,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,0,21.6179159049,-0.621934997005,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0,21.6179159049,-0.287732377787,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,6.9,63.5588056063,-0.718828619849,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,10.2,71.6077594962,-0.663958614169,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0.1,25.4519601869,-0.263590653682,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,43.5,92.8803575056,0.340811633064,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,7,63.8381068454,0.0309399526735,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,21.6179159049,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,42.8,92.7635588056,0.135933479085,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,11.9,74.8578102783,2.32262547374,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,8.2,67.0932358318,-0.427805215228,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0,21.6179159049,-0.187655855866,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,21.9,85.4407881373,0.0697939841269,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,21.6179159049,nan,ENSMUSG00000060373,84,0,NM_001146181
ENSG00000105877,DNAH11,0,21.6179159049,-0.340457389894,ENSMUSG00000018581,84,1,NM_001277115
ENSG00000105875,WDR91,2.5,46.0542352224,-0.474556968437,ENSMUSG00000058486,92,1,NM_014149
ENSG00000135074,ADAM19,3.8,52.122689417,-0.337594663297,ENSMUSG00000011256,84,0,NM_033274
ENSG00000135077,HAVCR2,7.6,65.4682104408,0.548425242493,ENSMUSG00000020399,61,1,NM_032782
