mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,10.52833,42.8657732865,-0.220948699196,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,58.57959,66.8277680141,0.121340146768,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.9197,18.5632688928,-0.19646211825,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,14.5430579965,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,5.80632,27.1364235501,1.9345112667,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,622.43727,90.2844903339,1.79457180186,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,66.13951,68.184314587,-0.281355149103,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,14.5430579965,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.82527,36.5333919156,-0.387351354155,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,45.78078,64.1750878735,-0.511772821136,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,7.9267,36.8903778559,3.61193422272,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.65668,15.2021089631,-0.463354286723,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,14.5430579965,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,11.40971,44.4749560633,-0.537007957332,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,10.13091,42.1078646749,-0.35294716726,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.53224,24.9560632689,-0.42579218434,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,14.5430579965,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,705.19253,91.0588752197,-0.686646248611,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,309.57787,84.4409050967,0.0194299080003,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,1436.91194,94.8044815466,-0.254554188713,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,14.5430579965,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,42.58357,63.3128295255,-0.824953149678,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.57329,25.3569859402,-0.172738873345,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,102.83413,72.9514499121,-1.08874439283,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,14.5430579965,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,207.53458,80.4646309315,-0.964581318929,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,24.0498681898,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,849.26998,92.1353251318,-0.563334744232,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,46.29829,64.295913884,-0.566238696144,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,19.5727,53.3282073814,-1.02034068485,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,86.5923,71.0951230228,-0.517661053015,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.12804,21.210456942,-0.196173490274,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,36.79523,61.5883128295,-0.759760026664,NA,NA,NA
ENSMUSG00000017688,Hnf4g,5.75558,26.7519771529,-0.107918060432,ENSG00000164749,90,0
ENSMUSG00000062327,T,7.41061,34.9297012302,1.99493217177,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,14.5430579965,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,14.5430579965,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,10.79831,43.3216168717,-0.399088473321,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,12327.85627,99.0883128295,0.518032266165,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,14.5430579965,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.66184,15.328427065,-0.410119372025,NA,NA,NA
ENSMUSG00000008193,Spib,4.65723,15.2076010545,-0.312268761797,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,13.33024,47.2264938489,-0.467095734577,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,72.32979,69.1069859402,1.11462031665,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,14.15394,48.1821177504,-0.162929787449,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,835.62855,92.0584358524,-1.04933889924,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,5.09778,20.8589630931,-0.277058845473,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,14.5430579965,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,47.81073,64.691344464,-0.36851888814,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,5.76117,26.7904217926,-0.381446621464,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,19.08122,52.9382688928,-0.908906224561,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,14.28275,48.3413884007,-0.0200113119893,NA,NA,NA
ENSMUSG00000035041,Creb3l3,31.15228,59.5836994728,-0.108889231846,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,4796.52365,98.0777680141,1.0725824064,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,5.93858,28.1085237258,0.444176546329,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,399.17797,86.6981546573,0.290355892233,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,18.09618,52.1583919156,1.14467414197,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,14.5430579965,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.90221,18.3161247803,-0.247034911172,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,44.86662,63.9224516696,-0.898568787782,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,66.00526,68.1513620387,-0.596392601866,NA,NA,NA
ENSMUSG00000032419,Tbx18,5.6597,25.9885764499,-0.245873315601,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.65761,15.2185852373,-0.422555984892,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,125.83383,75.3899384886,-0.577463966171,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,14.5430579965,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,50.25237,65.2405536028,-1.09134343164,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,5.55889,25.2086994728,-0.32707389107,ENSG00000169131,83,1
