mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1110.28955,93.8268892794,-0.695782709749,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,29.01289,58.1282952548,0.939113833935,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,552.19369,89.0927065026,-0.826418753883,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,452.55624,87.2913005272,-1.05680653624,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,18.4424428822,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4463.56892,98.401801406,0.660185945465,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,509.69753,88.3183216169,-0.897830751016,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,19.88283,54.0751318102,-0.638280915474,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,15.09076,50.8073374341,-0.121126270063,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,19.8209578207,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,51.83774,64.0103251318,-0.30041174994,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,245.2389,81.0577768014,-0.651664230571,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,8.63501,42.5472319859,-0.0919752663474,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,50.78716,63.8675307557,0.962886303888,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,6.2799,34.841827768,-0.101914097268,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,18.4424428822,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,216.67727,79.7067223199,-0.930812026648,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.64103,18.7829525483,-0.47535515746,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,18.4424428822,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,18.4424428822,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,18.4424428822,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,18.4424428822,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,7.3899,39.125659051,-0.237005571058,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,154.03658,75.7139718805,-0.757602158711,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,239.42447,80.8216168717,0.105205500965,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,5.3543,28.8554481547,-0.103893987039,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,7.88603,40.6524604569,-0.108887783724,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,18.4424428822,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,377.51532,85.4844024605,-0.0970663255604,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,18.4424428822,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,18.4424428822,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,235.09614,80.6293936731,9.11580196695,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,126.28968,73.4841827768,-0.255725520822,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,5.18263,27.3286467487,-0.0838499147337,ENSG00000160868,71,1
