mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1651.25688,96.5015377856,0.0149283604523,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,41.82539,62.6537785589,1.74320661222,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,653.44949,91.7289103691,-0.796317801868,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,509.64473,89.8835676626,-0.980805528933,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,5.05037,27.8833479789,0.503270349687,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,1990.80227,97.045254833,-0.817122235914,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,165.53431,78.6247803163,-0.98803041908,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,8.99318,43.4589191564,-0.714707829221,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,13.79575,49.6210456942,-0.123526247993,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.84657,24.9560632689,-0.347513632057,NA,NA,NA
ENSMUSG00000083012,Fam220a,41.04979,62.4780316344,-0.32928718659,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,19.08417,53.6742091388,-1.12562060393,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,18.1239015817,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,45.54863,63.6533391916,0.718169556991,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.70747,21.6827768014,-0.112634664775,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,5.64232,32.8646748682,-0.106815646644,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,130.04164,75.8128295255,-1.13966006749,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.13944,35.605228471,-0.464330144237,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.65433,18.9806678383,-0.116180419198,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.83965,24.7967926186,0.0311855568241,ENSG00000105639,82,1
