mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,85.2112,72.1221441125,4.46603326595,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,27.61128,60.7370386643,-0.815389606068,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,18.7554920914,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,18.7554920914,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,18.7554920914,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,18.50892,56.0248242531,-0.751667287315,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,152.17529,78.1030316344,-0.232051990652,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,19.99291,56.9255272408,-0.236500445475,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,8.23553,42.6570738137,-0.374729291501,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,289.0962,84.77043058,-0.273364032355,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,18.7554920914,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,20.0626098418,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,43.62173,65.4327768014,-0.0223489599075,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.45999,45.7820738137,-0.542523280718,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,6.50007,36.2093585237,-0.437518795635,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.53145,29.8110720562,-0.425981796717,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,18.7554920914,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,828.35327,93.5687609842,-0.573378029345,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,134.55728,76.7794376098,-0.215210582397,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,147.41225,77.7735061511,-0.578808689505,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,18.7554920914,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,68.46047,69.9033391916,-0.184349516231,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,6.66613,36.9617750439,-0.171255909761,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,69.83705,70.1120386643,-1.45539532579,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,18.7554920914,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,224.4458,82.2385764499,-0.908326702282,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,13.57919,51.9332161687,7.40622110915,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,325.61338,86.0830404218,-0.991149658646,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,44.45191,65.5810632689,-0.583290080327,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,9.43869,45.7216608084,-1.18947602598,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,29.45839,61.4455184534,-0.998558554048,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,9.37197,45.6063268893,0.369742209771,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,181.77627,80.0582161687,-0.149608280836,NA,NA,NA
