ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,2,43.0699481865,0.80018373598,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,4.8,63.3419689119,-0.114190332361,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,21.0492227979,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,21.0492227979,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,15.1,87.5,4.16757456472,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0.5,29.1450777202,-0.437954841234,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,6.6,70.2720207254,0.208169904257,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,6.3,69.170984456,-0.0174632303438,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,23.9,93.7823834197,-0.11339134114,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,5.8,67.6813471503,0.22938398632,NA,NA,NA,NM_001289166
ENSG00000198416,,0,21.0492227979,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0,21.0492227979,-0.494360144855,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,21.0492227979,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,21.0492227979,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,25.6,94.4300518135,0.753520957544,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,21.0492227979,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.9,50.6476683938,-0.179804934585,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,16.9,89.5725388601,-0.0609901117033,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,21.0492227979,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,10,79.4689119171,2.08779156529,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0.1,23.8989637306,0.673274875079,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,6.4,69.3652849741,1.03127257678,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,5.6,67.0336787565,0.447749498151,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,4.4,61.0103626943,0.369331404784,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,14.5,86.2694300518,-0.33473351974,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,5.4,66.1917098446,2.3245064177,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,3.8,56.9948186528,0.0447217173252,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,18.5,90.932642487,-0.672120631805,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,3.7,56.2176165803,-0.596996771888,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,21.0492227979,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
