mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1798.85099,96.2708699473,0.208834280563,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,38.87543,62.1594903339,1.55807166336,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1671.44385,95.9962653779,-0.493692180601,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1195.41367,94.2003514938,-0.0678521433766,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,24.3848857645,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4779.68458,98.670913884,0.849043333517,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,723.67529,90.8556678383,-0.841750607052,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,70.67992,67.0474516696,-0.281771310849,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,44.33068,63.3183216169,-0.0669373737002,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,26.5103251318,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,88.15345,69.2937170475,-0.203207741439,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,304.42284,82.6394991213,-0.527631425404,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,24.3848857645,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,17.0858,55.7941564148,-0.611465123939,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.84346,29.4925307557,-0.111707507461,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,24.3848857645,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,244.62949,80.2339630931,-0.863429052876,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,320.62664,83.1612478032,1.84960632068,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,24.3848857645,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,24.3848857645,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,24.3848857645,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,24.3848857645,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,10.87178,51.1972759227,0.761679525848,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,201.55906,78.0316344464,-0.6410226018,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,226.48415,79.355228471,0.0122068593171,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,24.3848857645,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,5.25673,35.2317662566,-0.110209142721,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,24.3848857645,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,1558.34647,95.6118189807,2.94103655083,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,24.3848857645,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,24.3848857645,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,24.3848857645,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,23.31217,58.1777240773,-0.326439397045,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,24.3848857645,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,24.3848857645,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,54.5474516696,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,18408.47391,99.8132688928,0.0565966721614,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,26.329086116,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.95162,31.3598418278,-0.14428642305,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,24.3848857645,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,499.93054,87.7471441125,-0.6745452986,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,24.3848857645,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,92.88899,69.8539103691,-0.596548788972,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,462.45422,86.9617750439,-0.835444847121,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,28.4819859402,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,20.52746,57.2056239016,-0.447502453893,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,471.87895,87.1265377856,0.881782725332,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,646.35494,89.9879173989,1.37901606247,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,84.23452,68.8818101933,0.300352892565,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,24.3848857645,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,43799.68422,99.9670474517,0.398486439654,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.7454,27.5812829525,-0.326070523292,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,24.3848857645,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,56.10645,65.2899824253,1.32960139204,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,1100.6924,93.678602812,1.69688334742,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,24.3848857645,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,321.49026,83.1996924429,-0.252912464189,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,628.22584,89.790202109,0.366846062914,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,24.3848857645,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,5.32236,35.802943761,-0.170435183253,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,37.33799,61.8793936731,-0.633893275474,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,4.8441,29.5090070299,-0.183027973264,NA,NA,NA
ENSMUSG00000021598,Med10,1246.60687,94.4529876977,-0.0581892518626,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,24.3848857645,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,10.08293,50.2526362039,-0.0750658673439,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,24.3848857645,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,601.4427,89.3673110721,0.458179073102,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,97.73008,70.276801406,-1.13544195014,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,263.67637,81.0248242531,0.503602734604,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,729.39925,90.8996045694,-0.458963656646,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,2666.38864,97.4956063269,-0.567816364504,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,24.3848857645,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,124.91336,72.6988137083,2.83683489531,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.63584,24.3848857645,-0.127576742456,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,55.10395,65.1362038664,-0.332068197279,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,777.78227,91.3334797891,0.00577803001448,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,6.56003,42.8053602812,-0.460522343202,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,5.16352,34.105887522,-0.397644729535,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,5.86713,39.5320738137,-0.233644304314,ENSG00000088882,85,1
