mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,879.09311,89.6089630931,-0.999523546186,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.77152,27.0375659051,-0.582237233593,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2072.86715,94.7001318102,-0.37435853758,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,882.04393,89.6309314587,-0.485036341109,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.5074692443,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2879.63595,96.0072495606,-0.286105179634,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,2260.00523,94.9857205624,-0.439103134657,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,101.54321,65.8336994728,-0.065163246975,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,6.28403,36.7420913884,-0.13744734684,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.70306,25.367970123,-0.348528423528,NA,NA,NA
ENSMUSG00000083012,Fam220a,184.38337,73.0667838313,0.0543649168317,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,337.32892,80.1845342707,-0.458669585259,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.5074692443,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,15.67728,47.3473198594,-0.677263817913,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,5.08068,30.8655536028,-0.11009018076,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.5074692443,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,318.09927,79.5199912127,-0.686319246971,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,93.97147,64.9384885764,0.181921076813,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63657,20.7710896309,-0.116202809392,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.5074692443,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.5074692443,-0.35436820418,NA,NA,NA
