mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,6.19014,36.4619947276,-0.493206826012,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,21.51066,52.1419156415,-0.999921221281,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.84162,27.6032513181,-0.199487346287,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.6008347979,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.65455,22.6329086116,-0.330396779924,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,88.88354,66.9101493849,-0.454958897438,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,796.07181,90.2021089631,0.136935564893,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.6008347979,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,6.76314,38.1920035149,-0.420028854781,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,169.08153,74.3409490334,-0.390958519834,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.6008347979,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,23.8246924429,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,20.6008347979,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,1068.29576,92.052943761,2.45268715213,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,39.72977,58.4028998243,0.336486624437,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.05678,36.0281195079,-0.299894366406,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.6008347979,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,330.74979,82.3044815466,-1.03101298737,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,27.36938,54.723198594,-0.358911511646,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,179.08525,75.0768892794,-0.570844272853,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.6008347979,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,60.18188,62.5768892794,-0.389292721708,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.86794,35.1878295255,-0.172339038768,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,148.71342,72.8306239016,-0.578951269259,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.6008347979,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,185.73388,75.5382249561,-1.03710062984,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.25112,31.6344463972,-0.415448982975,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,710.72778,89.3233743409,-0.676520407195,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,10.12571,44.2003514938,-0.900293743584,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,60.23783,62.598857645,-0.341644824602,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,108.82034,69.2497803163,-0.330567103225,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.13099,30.6513620387,-0.195780116369,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,26.60876,54.3826889279,-0.802629718138,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.68011,23.9125659051,-0.115768183046,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,20.6008347979,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,20.6008347979,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.6008347979,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,5.58134,33.6720123023,-0.437871711651,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,15982.19672,99.4947275923,0.934880017501,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,20.6008347979,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.66184,23.0173550088,-0.410119372025,NA,NA,NA
ENSMUSG00000008193,Spib,4.68014,23.9180579965,-0.312250188407,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,24.84438,53.7236379613,-0.346109271049,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,30.8981,55.8435852373,-0.491191337183,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,15.06053,48.7148506151,-0.161544579429,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,587.38573,87.8020650264,-1.15310124213,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,28.223857645,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.6008347979,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,62.50774,63.0052724077,-0.0177342803796,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.89231,28.2842706503,-0.384246801481,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,109.16226,69.3047012302,-0.180032202102,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,20.6008347979,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,23.41121,53.0590949033,-0.123582873156,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,2186.24128,95.5349297012,0.139893482981,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,26.9222319859,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,41.25674,58.8148066784,-0.198714704987,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,9.02012,42.7449472759,0.129429806128,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,20.6008347979,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,20.6008347979,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,72.75989,64.6858523726,-0.611268149601,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,71.72062,64.5430579965,-0.547705268434,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,20.6008347979,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.65761,22.8141476274,-0.422555984892,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,122.08439,70.5733743409,-0.631210788573,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,20.6008347979,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,250.21459,79.1080843585,0.253721089704,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,6.94075,38.7521968366,-0.146019701092,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.64981,22.3363356766,-0.187221774729,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.75457,25.9995606327,-0.175021793502,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,5.22701,31.4257469244,-0.556330265278,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,8.76463,42.349516696,-1.10802555781,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,523.88663,86.7530755712,1.71528436349,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,20.6008347979,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,25.44741,53.9927504394,0.0860334767221,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,5.30886,31.9914323374,-0.277365753297,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,177.97314,75.0054920914,-0.833036418594,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,220.40923,77.5428383128,-0.146858578715,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,199.33109,76.3840070299,0.355408375465,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,88.35208,66.8222759227,-0.202779277138,ENSG00000095794,91,1
