mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,21.32917,55.2119947276,0.456895393947,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,67.63725,66.8222759227,0.395316337689,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,19.6726713533,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.6726713533,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,19.6726713533,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,61.93773,65.894112478,-0.568565875338,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,78.34781,68.1458699473,-0.274359132453,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,18.38845,53.5973198594,-0.241386387865,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.5976,41.2620826011,-0.394355851314,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,8.18059,42.7504393673,-0.548614776142,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.79901,24.3739015817,-0.0386887885969,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.75649,23.3963093146,-0.373580684706,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,67.13536,66.7618629174,0.158093744383,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,1176.5069,93.9586994728,2.75879235245,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,10.97975,47.2759226714,-0.333175494305,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.03617,28.2183655536,-0.544856756237,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,19.6726713533,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1187.65281,94.046572935,-0.242938158013,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,11.30448,47.6823374341,-0.380448840563,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,655.62691,90.0922671353,-0.45101424942,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.99383,27.6416959578,1.00854057563,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.51385,65.4931898067,-0.405830345815,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.92341,26.5542618629,-0.173620748436,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,106.36754,71.408172232,-1.04948249229,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,19.6726713533,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,431.17582,86.341168717,-0.220646095884,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.49934,32.8372144112,-0.182322346159,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1011.91155,93.1019332162,-0.430460472525,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,70.13733,67.1133567663,-0.346084324016,ENSG00000072736,89,1
