mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1188.60189,91.9321177504,-0.592897666818,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.69114,25.3789543058,-0.587281758667,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,9481.28569,98.5555799649,1.82798889318,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1515.73615,93.3930140598,0.358588127578,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.842486819,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3038.58154,96.1280755712,-0.191146110002,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,2538.40127,95.5733743409,-0.366139991186,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,46.62498,58.9411247803,-0.450596279931,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,11.78496,45.9303602812,-0.127252745567,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.66572,24.3079964851,-0.348792463062,NA,NA,NA
ENSMUSG00000083012,Fam220a,229.04377,76.3235940246,0.173904639482,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,434.06327,83.6170913884,-0.255941737359,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.842486819,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,16.36588,49.2036467487,-0.645096024292,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,20.842486819,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.842486819,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,1025.89403,91.0259226714,1.01992504236,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,12.16238,46.2818541301,-0.420014507569,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.842486819,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.842486819,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.842486819,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,20.842486819,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.63076,38.7631810193,-0.454744782192,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,262.39244,78.1414762742,-0.491789470747,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,179.81501,73.6214850615,-0.323191850058,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,20.842486819,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.89947,29.3771968366,-0.110388684316,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.842486819,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,167.68752,72.9569420035,-0.636922038824,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,20.842486819,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.842486819,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.842486819,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,64.3143,62.1265377856,-0.298283544901,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,20.842486819,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,2557.52506,95.6228031634,2.42088034632,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,48.3908172232,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,15271.43874,99.0938049209,-0.360415118151,NA,NA,NA
ENSMUSG00000020758,Itgb4,24.71401,53.0041739895,-0.146661991006,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.842486819,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,20.842486819,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,598.09735,86.5498681898,-0.471287419878,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,20.842486819,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,91.59684,65.9050966608,-0.617584090471,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,15448.22979,99.1157732865,0.873970828249,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,210.01363,75.3899384886,-0.0905140159729,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,28.76614,54.1520210896,-0.348550042841,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,127.13309,69.7385764499,-0.958092564578,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,126.81987,69.7166080844,-1.00734080089,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,8.99946,42.9261862917,-0.494787159915,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,20.842486819,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,36424.63042,99.8626977153,-0.176541683149,ENSG00000008988,80,0
