mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,5.91323,38.4391476274,-0.510585271376,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,28.25164,55.882029877,-0.796019990337,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.4516695958,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.4516695958,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.75606,27.7021089631,-0.130781565243,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,15.00612,50.8018453427,-0.766435539678,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,115.29207,68.6621265378,-0.253188071941,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,7.43606,43.0195518453,-0.274738884393,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,42.9811072056,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,150.06575,71.3422671353,-0.409590832893,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.4516695958,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,24.9121265378,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,22.4516695958,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.08959,45.7326449912,-0.543571059775,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,26.3619,55.2724077329,0.0251144533126,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,7.43235,43.0085676626,0.0302639845616,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,22.4516695958,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1419.06413,92.4099297012,-0.0301142651535,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,234.49224,76.0764499121,-0.0812332713719,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3863.97696,96.875,0.35574976293,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.4516695958,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,328.17315,79.8165641476,6.24504838151,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.91698,30.6678383128,-0.173629473827,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,201.40498,74.3574253076,0.00653719314565,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,22.4516695958,-0.206692568841,ENSG00000136944,92,0
