mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,6.40665,37.796572935,-0.479618991676,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,28.31769,54.624340949,-0.794022109272,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,20.3591827768,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,8.62791,42.6845342707,8.94603576741,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.3591827768,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,1120.09315,90.921572935,3.89275257879,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,78.8881,64.466168717,-0.274049517041,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.3591827768,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.85197,41.4433216169,-0.386529901728,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,209.51897,75.1537785589,-0.351336530025,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.3591827768,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.65668,21.8420474517,-0.463354286723,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,20.3591827768,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.45999,43.9751757469,-0.542523280718,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,19.99978,51.6860720562,-0.123075730864,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.60559,38.4171792619,-0.168171368234,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.3591827768,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,823.91136,88.5874340949,-0.577463156114,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,185.81818,73.9125659051,-0.146487909743,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,528.8374,84.6935413005,-0.482896435658,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.3591827768,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,61.14639,61.934314587,-0.365415494896,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.77035,25.9446397188,-0.173828448013,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,140.98692,70.8315026362,-0.664805182196,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.3591827768,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,277.24684,78.2073813708,-0.732685780825,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.2875659051,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,514.96631,84.4299209139,-0.836452844852,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,56.22553,61.0830404218,-0.474560285891,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,30.98851,55.4481546573,-0.829812264348,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,151.22949,71.6882688928,0.0263917370843,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,30.5525043937,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,11.46037,46.0456942004,-0.866381617041,NA,NA,NA
ENSMUSG00000017688,Hnf4g,7.99968,41.7289103691,-0.091537817227,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,20.3591827768,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,20.3591827768,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.3591827768,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,233.96337,76.4773725835,1.25993270351,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,18932.83251,99.4123462214,1.27145672974,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,20.3591827768,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,6.12965,36.764059754,0.890438000261,NA,NA,NA
ENSMUSG00000008193,Spib,4.67781,23.0612917399,-0.312252077364,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,13.0892,47.4077328647,-0.469628496656,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,68.13822,63.0327328647,0.952163222722,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.99344,29.5309753954,-0.176926410033,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,888.67207,89.1915641476,-1.02716738221,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,28.0481107206,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.3591827768,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,32.40078,55.8875219684,-0.736319771882,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.63584,20.3591827768,-0.385073358313,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,53.03818,60.4844024605,-0.634149782743,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,20.3591827768,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,30.10826,55.1460896309,-0.110870928872,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,843.08058,88.8181019332,-0.340035861699,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,26.6036906854,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,104.09042,67.2616432337,-0.112857530761,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,6.57693,38.3183216169,-0.143864421641,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,52.79674,60.434973638,1.17705690433,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,24.4855,53.3776362039,0.730972134362,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,89.64248,65.7677943761,-0.437377498518,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,57.29394,61.2917398946,-0.670601565339,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,20.3591827768,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.65761,21.9024604569,-0.422555984892,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,109.20928,67.7339630931,-0.815770683005,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,20.3591827768,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,113.85354,68.2612038664,-0.66352423018,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,10.05518,44.6452108963,0.262039437237,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.64282,20.8095342707,-0.187695588091,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.85749,27.5977592267,-0.172800674414,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,10.26514,44.8429261863,-0.454366431052,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,13.3774,47.6878295255,-0.861191849954,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,186.89297,73.9839630931,-0.223263045399,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.71986,24.6814586995,-0.0928243285212,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,21.93204,52.4549648506,-0.0826194913191,ENSG00000196381,17,0
