mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,62.00653,66.3938927944,3.00974389468,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,46.15975,64.0103251318,-0.254335298662,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.1605887522,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.1605887522,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,6.403,41.02043058,3.10785779706,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,34.34305,61.6926625659,-0.684908572065,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,63.70562,66.6520210896,-0.282749899802,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,206.74885,78.888400703,0.332213491885,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,44.809973638,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,5.92089,38.4007029877,-0.550828907659,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,5.45933,34.8857644991,0.732033177722,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,6.05137,39.1915641476,0.791092612354,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,346.26774,84.4903339192,2.30014503557,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,11.70708,51.8728031634,-0.53616676387,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,26.62686,59.6111599297,0.0312860551056,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.90879,28.0755711775,-0.575429951892,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,22.1605887522,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1966.27157,97.045254833,0.473140362073,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,7.18122,44.0520650264,-0.385976668737,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,167.49556,76.2961335677,-0.573758588517,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.1605887522,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,75.8944,68.1513620387,-0.000316553674483,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.90055,38.2963532513,-0.172294787603,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,250.99062,80.9699033392,0.557513860395,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,22.1605887522,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,444.73795,87.0935852373,-0.175532116877,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,34.545254833,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,986.45288,93.6072056239,-0.45125959685,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,152.41467,75.1812390158,0.413749802192,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,110.34337,71.8585237258,0.49461028078,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,36.30118,62.1869507909,-0.940962625271,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,6.91955,43.1568541301,0.0427191483388,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,582.15396,89.7023286467,1.53537857361,NA,NA,NA
ENSMUSG00000017688,Hnf4g,5.00815,29.6682776801,-0.11337373762,ENSG00000164749,90,0
