mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,30.0142794376,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,37.036,57.4033391916,-0.530310580569,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,11.68195,46.111599297,0.065542854754,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.6887082601,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.6367,21.3642355009,-0.36549806632,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,94.18991,66.6959578207,-0.432586563509,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,525.57936,86.0171353251,-0.0180712488087,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.6887082601,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,6.65909,38.658831283,-0.423230057968,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,103.02722,67.7284710018,-0.455680796955,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.6887082601,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,6.53886,38.2688927944,1.22956303864,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.96288,29.9044376098,-0.319015507724,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,729.77482,88.7521968366,1.49508685192,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,42.67305,58.6994727592,0.405043207036,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.93506,39.4222319859,-0.0890934064491,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63677,21.4026801406,-0.151651715121,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,339.09574,81.4751757469,-1.02333740102,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,15.74024,49.335456942,-0.374502060806,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,86.32163,65.6359841828,-0.59417039036,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.6887082601,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,46.47888,59.5507469244,-0.728521593371,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.63978,34.9571616872,-0.17264864765,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,173.54595,73.7038664323,-0.303021693302,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.6887082601,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,346.30997,81.7113356766,-0.502949552298,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.31906,32.9086115993,-0.351640169401,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,745.52216,88.9389279438,-0.648094231144,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,10.33879,44.7056239016,-0.898325942297,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,100.61402,67.4538664323,0.332228663706,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,87.40544,65.795254833,-0.510816833987,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,31.178602812,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,42.47121,58.639059754,-0.735872702458,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63603,20.9028998243,-0.116089933913,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,20.6887082601,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,20.6887082601,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.6887082601,-0.114740308437,NA,NA,NA
