ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,5.5,55.2457850904,0.27375021152,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,6.5,58.445053829,0.0440085185744,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0.6,31.0532195816,-0.150122316791,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0.5,29.7582774731,-0.554342109136,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,12.1,72.7198862482,-0.290167946274,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0.5,29.7582774731,1.33526452599,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,19.5206175096,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,11.3,71.0237659963,-0.236214327059,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,13.5,75.2539102173,1.11530026043,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.4,28.4531789559,-0.183528861741,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,1.6,38.8533414585,-0.550028548552,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,24.1,86.5072110502,1.06114033506,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,19.5206175096,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,6.3,57.8052000813,-0.272412360602,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,19.5206175096,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,3,45.4854763356,0.246733076514,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,13.8,75.731261426,-0.0775368636188,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0.4,28.4531789559,-0.73961375512,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,10.3,68.8655291489,-0.064611430266,ENSMUSG00000057778,80,1,NM_144611
