mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1635.46867,96.3202987698,-0.00581384522887,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,40.60306,63.3018453427,1.6664950629,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1403.86344,95.5733743409,-0.57323750128,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1017.31822,93.7554920914,-0.304947810074,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,23.3908172232,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4667.04858,98.7313268893,0.781751062199,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,759.19856,91.8497363796,-0.832440526903,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,71.67781,68.1293936731,-0.274767811842,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,48.38721,64.6583919156,-0.059419607449,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,7.64041,45.8479789104,-0.327757761361,NA,NA,NA
ENSMUSG00000083012,Fam220a,80.63303,69.1344463972,-0.223337183205,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,235.47739,80.6733304042,-0.672121595659,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,23.3908172232,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,23.83138,59.078427065,-0.296346876352,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,23.3908172232,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,23.3908172232,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,239.08033,80.8271089631,-0.876806126423,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,312.13309,83.6884885764,1.78711240976,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,23.3908172232,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,23.3908172232,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,23.3908172232,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,23.3908172232,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,9.3289,49.4013620387,0.319145244852,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,195.93463,78.5973198594,-0.65482014682,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,190.29248,78.2403339192,-0.24789305699,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,23.3908172232,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,6.41099,41.586115993,-0.109629067478,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,23.3908172232,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,1298.4395,95.1834358524,2.27233458345,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,23.3908172232,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,23.3908172232,-0.1775381398,ENSG00000149635,58,1
