ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,1.8,47.7331606218,0.643092450389,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,70.9,98.3808290155,4.94944469931,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,25.7124352332,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,25.7124352332,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,3.2,60.6865284974,-0.512497373485,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0.6,34.6502590674,-0.427915761779,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,4,65.3497409326,-0.204204763224,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,8.1,78.8212435233,0.653124814859,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,21.5,93.2642487047,-0.315913550433,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,5.6,71.9559585492,0.135277735522,NA,NA,NA,NM_001289166
ENSG00000198416,,0,25.7124352332,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.1,27.6554404145,-0.403962861225,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,25.7124352332,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,25.7124352332,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,23.2,93.9766839378,0.466322895314,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,25.7124352332,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.4,53.6917098446,-0.651424435135,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,13,86.8523316062,-0.348219015121,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,25.7124352332,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,6.4,74.9352331606,0.244775562828,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,25.7124352332,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,3.5,62.3704663212,-0.303484677407,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,2.8,57.189119171,-0.711740531743,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,4.6,68.2642487047,0.508373815996,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,15.8,89.0544041451,-0.182548662678,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,4.7,68.5233160622,1.79749281692,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,4,65.3497409326,0.159209313678,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,17.1,89.7668393782,-0.78983370571,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,3.1,59.9093264249,-0.744897907633,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,25.7124352332,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,25.7124352332,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,3.8,63.7953367876,-0.549610991447,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,5.1,70.1424870466,-0.0376865510839,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,25.7124352332,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,2.9,57.9015544041,0.113247870429,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,25.7124352332,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,0,25.7124352332,-0.335082140871,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,7.5,77.914507772,-0.692371696336,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,6.5,75.4533678756,-0.254773366568,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0.3,30.9585492228,1.75947840923,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,17.5,90.2202072539,2.48831450828,ENSMUSG00000022987,79,0,NM_152320
ENSG00000054598,FOXC1,4.9,69.4948186528,-0.0162976757534,ENSMUSG00000050295,93,1,NM_001453
ENSG00000132130,LHX1,0,25.7124352332,nan,NA,NA,NA,NA
ENSG00000057657,PRDM1,1.7,46.6321243523,-0.734571244024,ENSMUSG00000038151,89,1,NM_182907
ENSG00000168610,STAT3,47.9,97.6683937824,-0.0785528860549,ENSMUSG00000004040,100,0,NM_003150
ENSG00000189120,SP6,0.2,29.3393782383,-0.325033470328,ENSMUSG00000038560,96,0,NM_001258248
ENSG00000105722,ERF,17.5,90.2202072539,-0.326851157151,ENSMUSG00000040857,97,1,NM_001308402
ENSG00000162599,NFIA,12.6,86.3989637306,0.116586645033,ENSMUSG00000028565,91,0,NM_005595
ENSG00000152926,ZNF117,19.6,92.0984455959,3.11284888687,ENSMUSG00000055341,50,0,NM_015852
ENSG00000152433,ZNF547,1.9,48.7694300518,1.35745728641,NA,NA,NA,NM_173631
ENSG00000140044,JDP2,15.9,89.1191709845,-0.0277486716379,ENSMUSG00000034271,90,1,NM_001135048
ENSG00000141510,TP53,8.2,79.0155440415,-0.96644973724,ENSMUSG00000059552,77,0,NM_001126114
ENSG00000152439,ZNF773,3,58.9378238342,0.33115802817,ENSMUSG00000063535,36,0,NM_198542
ENSG00000139651,ZNF740,3.8,63.7953367876,-0.153579766374,ENSMUSG00000046897,79,0,NM_001004304
ENSG00000162601,MYSM1,5.9,72.7331606218,-0.1342307792,ENSMUSG00000062627,78,0,NM_001085487
ENSG00000135100,HNF1A,0,25.7124352332,-0.45646837151,ENSMUSG00000029556,94,1,NM_001306179
ENSG00000067646,ZFY,0,25.7124352332,-1.17116618832,ENSMUSG00000053211,69,0,NM_003411
ENSG00000186496,ZNF396,1.9,48.7694300518,0.0616597141221,NA,NA,NA,NM_145756
ENSG00000187140,FOXD3,0.4,32.5777202073,1.46522046428,ENSMUSG00000067261,90,1,NM_012183
ENSG00000185610,DBX2,0,25.7124352332,-0.279301948972,ENSMUSG00000045608,71,0,NM_001004329
ENSG00000172262,ZNF131,11.4,84.5207253886,0.130063899894,ENSMUSG00000094870,88,1,NM_003432
ENSG00000169926,KLF13,12.3,86.1398963731,-0.785666067651,ENSMUSG00000052040,94,1,NM_015995
ENSG00000114853,ZBTB47,6.8,76.4248704663,-0.191745736427,ENSMUSG00000013419,74,1,NM_145166
ENSG00000073861,TBX21,0.3,30.9585492228,-0.404012486074,ENSMUSG00000001444,87,0,NM_013351
ENSG00000126012,KDM5C,20.5,92.7461139896,0.470767060061,ENSMUSG00000025332,95,0,NM_001146702
ENSG00000214022,REPIN1,23.1,93.9119170984,0.510240847783,ENSMUSG00000052751,77,1,NM_001099696
ENSG00000129514,FOXA1,0,25.7124352332,-0.406759573555,ENSMUSG00000035451,95,0,NM_004496
ENSG00000186812,ZNF397,11.1,84.0025906736,0.591508626086,ENSMUSG00000024276,83,0,NM_032347
ENSG00000214029,,0.8,37.0466321244,1.05544717264,NA,NA,NA,NM_001277291
ENSG00000183733,FIGLA,0,25.7124352332,-0.179605302027,ENSMUSG00000030001,58,0,NM_001004311
ENSG00000186564,FOXD2,0.3,30.9585492228,-0.032302684824,ENSMUSG00000055210,94,1,NM_004474
ENSG00000119138,KLF9,31.8,96.0492227979,0.678800802323,ENSMUSG00000033863,97,0,NM_001206
ENSG00000141027,NCOR1,15.3,88.7305699482,-1.30662817143,ENSMUSG00000018501,92,1,NM_001190438
