mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1384.49607,92.3769771529,-0.33553616901,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.85769,30.2614235501,-0.57682933703,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1855.04828,93.9971441125,-0.439110930567,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,2439.77224,95.150483304,1.58874281604,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,25.9391476274,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,5404.17567,97.5834797891,1.22213385399,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,5563.69923,97.6329086116,0.42674215289,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,199.5906,73.6818980668,0.622963498936,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,4.63584,25.9391476274,-0.140501855782,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,183.47863,72.7866871705,0.915633820746,NA,NA,NA
ENSMUSG00000083012,Fam220a,49.59794,60.0230667838,-0.306406883678,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1152.58495,91.3115114236,1.24987655631,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,25.9391476274,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,60.58672,61.7256151142,1.42067053806,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,6.96333,41.1851933216,-0.0972545846338,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,25.9391476274,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,614.77544,86.2148506151,0.0288626806888,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.63584,25.9391476274,-0.475393344484,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,25.9391476274,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,25.9391476274,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,25.9391476274,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,25.9391476274,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,40.0483304042,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,324.9819,79.4595782074,-0.338248419984,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,79.3522,64.2519771529,-1.04519137296,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,5.62025,36.0555799649,-0.101735642844,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.63584,25.9391476274,-0.110521172002,NA,NA,NA
ENSMUSG00000035420,Fam170a,6.10237,38.3183216169,-0.0879837992905,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,37.19343,57.5955623902,-0.972663918754,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,25.9391476274,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,25.9391476274,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,25.9391476274,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,7.43062,42.3000878735,-0.337345137152,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,25.9391476274,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,25.9391476274,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,10.98479,47.2155096661,-0.660680130305,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,24617.26113,99.5826010545,0.881942048917,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.63584,25.9391476274,-0.390076016989,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,25.9391476274,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,25.9391476274,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,422.95692,82.4527680141,-0.833921922112,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,25.9391476274,-0.17149379688,ENSG00000147614,93,0
