mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.69114,25.3789543058,-0.587281758667,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,159.60208,72.2814147627,3.17706944192,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,5.04505,31.0632688928,-0.191605402901,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.842486819,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.842486819,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,204.31711,75.0933655536,0.0317237829444,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,60.50179,61.4510105448,-0.284585867793,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.79149,27.7625219684,-0.282792196204,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,40.21128,57.4967047452,0.609036905334,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,304.59787,79.6737697715,-0.25817496473,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.842486819,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,24.8077768014,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,20.842486819,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,135.56912,70.4086115993,-0.185788655241,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,13.12428,47.1001757469,-0.283223859367,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.63584,20.842486819,-0.640942228182,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.842486819,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,2014.74149,94.7056239016,0.517717079673,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,2435.57346,95.3921353251,2.86963540565,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,13289.51552,98.9235500879,2.72587309384,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.842486819,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,67.55035,62.6482864675,-0.206880274509,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.92663,29.7177065026,-0.173616378956,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,205.25352,75.1482864675,0.0493006977203,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,10.436,44.6507029877,0.863210061485,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,337.85815,80.8600615114,-0.531064253311,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.9136643234,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,699.05476,88.0272407733,-0.686056985273,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,96.94703,66.586115993,-0.0984958023963,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,46.18095,58.8477592267,-0.576252368313,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,146.01984,71.2928383128,-0.0174580128498,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.28024,33.0129613357,-0.175878063736,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,40.54349,57.5845782074,-0.7439854993,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.64591,22.8251318102,-0.116017817339,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.65434,23.599516696,-0.38180498842,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,20.842486819,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.842486819,-0.114740308437,NA,NA,NA
