mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1147.11893,90.9874780316,-0.647397074197,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.75731,27.1309314587,-0.58312903132,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,4084.30854,96.9079525483,0.223595364926,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1211.11199,91.3829086116,-0.0469532172871,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.0951230228,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4297.99516,97.0562390158,0.561266999648,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,6258.86491,97.9184973638,0.608933944289,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,54.78396,59.9351933216,-0.393334048296,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,7.85267,41.6630052724,-0.134540263976,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,14.12167,47.8471001757,-0.281927314912,NA,NA,NA
ENSMUSG00000083012,Fam220a,23.04843,52.3176625659,-0.37747031038,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,725.18037,87.5549209139,0.354157396713,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.0951230228,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,18.40248,50.3240333919,-0.549956714843,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.0951230228,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,5.06426,31.3104130053,-0.107185312719,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,525.55326,84.4683655536,-0.186220622707,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.43786,34.2102372583,-0.469492235238,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,5.02361,30.9039982425,-0.115714864533,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.0951230228,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.67767,24.80228471,-0.270044684281,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.0951230228,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.80324,39.466168717,-0.405273460517,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,408.14405,81.8431458699,-0.134239567778,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,163.15669,71.4356326889,-0.442910769848,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.0951230228,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.83567,28.4325571178,-0.11042074711,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63923,21.9518892794,-0.109300132505,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,371.53382,80.8326010545,-0.112455835191,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.0951230228,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.78931,27.658172232,-0.175554371367,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,21.0951230228,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,40.84316,57.3648945518,-0.314400998982,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,21.0951230228,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.0951230228,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,48.4292618629,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,19039.90108,99.3464411248,0.140533434214,NA,NA,NA
ENSMUSG00000020758,Itgb4,392.05595,81.4641915641,4.30674091013,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.0951230228,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,21.0951230228,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,685.14918,87.0716168717,-0.291043503378,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,21.0951230228,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,82.77773,64.1421353251,-0.761153055222,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,7038.21759,98.1821177504,-0.0853526727325,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,27.6526801406,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,16.62594,49.3793936731,-0.494362486176,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,162.89856,71.4246485062,-0.767215712612,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,206.78317,74.1761862917,-0.640049003303,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,19.02956,50.5931458699,-0.388781605585,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,21.0951230228,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,45923.31006,99.928602812,0.564064157922,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,354.38441,80.3328207381,2.16727355272,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,21.0951230228,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,6.40301,38.2798769772,-0.252348488575,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,635.88528,86.3246924429,0.348097345157,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,21.0951230228,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,214.05354,74.5496485062,-0.344551077698,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.69429,25.466827768,-0.375187295359,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.64939,23.4127855888,-0.193832072273,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,4.94723,30.0856766257,-0.170702866851,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,265.32024,77.0265817223,-0.317835081287,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,5.20293,32.6340070299,-0.178454908868,NA,NA,NA
ENSMUSG00000021598,Med10,972.63603,89.8176625659,-0.404612981485,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,21.0951230228,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,4.85263,28.690685413,-0.136602838092,NA,NA,NA
ENSMUSG00000019913,Sim1,4.65687,23.8137082601,-0.157766739171,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,136.94687,69.485940246,-0.798389188532,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,580.29305,85.4130052724,0.126921015109,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,267.55287,77.1254393673,0.518368674024,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,512.92226,84.2376977153,-0.585624810683,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,3472.94769,96.4466168717,-0.139538543985,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,21.0951230228,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,11.20316,45.6063268893,-0.583504087908,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.63584,21.0951230228,-0.127576742456,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,38.18132,56.7827328647,-0.488207288974,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,733.97614,87.6537785589,-0.0964815596798,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,6.32406,38.0217486819,-0.608241423277,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,5.04178,31.1236818981,-0.409430735589,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,5.15647,32.2275922671,-0.235206957802,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,4.63584,21.0951230228,-0.295067617567,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,1196.37101,91.2565905097,-0.624215780274,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,4.92322,29.7891036907,-0.431930674172,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,492.25561,83.8752196837,-0.931307498483,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,43.04113,57.8536906854,-0.666394798127,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,58.40961,60.5997363796,-0.262839155039,ENSG00000118432,97,1
ENSMUSG00000054537,Tmprss11e,4.63584,21.0951230228,-0.129205751722,ENSG00000087128,76,1
ENSMUSG00000030001,Figla,4.63584,21.0951230228,-0.229184951099,ENSG00000183733,58,0
ENSMUSG00000022960,Donson,80.41781,63.9334358524,-0.505129778094,ENSG00000159147,77,1
ENSMUSG00000087029,Gm14133,4.63584,21.0951230228,-0.202942035384,NA,NA,NA
ENSMUSG00000030924,2610020H08Rik,11.1884,45.5678822496,-0.197939835115,ENSG00000005189,36,1
ENSMUSG00000044287,Nrn1l,4.63584,21.0951230228,-0.164046418312,ENSG00000188038,74,1
ENSMUSG00000021061,Sptb,9.31904,43.6840949033,-0.350302515537,ENSG00000070182,91,1
ENSMUSG00000054074,Skida1,4.63584,21.0951230228,-0.188085268602,ENSG00000180592,92,1
ENSMUSG00000041536,Serpina3a,4.63584,21.0951230228,-0.117658559847,ENSG00000273259,51,0
ENSMUSG00000054072,Iigp1,109.98013,67.1133567663,-0.269631035478,NA,NA,NA
ENSMUSG00000045007,Tubg2,4.63584,21.0951230228,-0.399039632584,ENSG00000037042,98,1
ENSMUSG00000001270,Ckb,1911.85368,93.920254833,-0.273896770207,ENSG00000166165,97,0
ENSMUSG00000041671,Pyroxd1,261.2478,76.8178822496,2.69911739332,ENSG00000121350,85,0
ENSMUSG00000030922,Lyrm1,16.61558,49.3739015817,-0.319568910326,ENSG00000102897,88,0
ENSMUSG00000010392,Gosr1,71.66401,62.6263181019,-0.0429224874806,ENSG00000108587,98,0
ENSMUSG00000006958,Chrd,10.2068,44.683655536,-0.497365641136,ENSG00000090539,86,0
ENSMUSG00000054079,Utp18,130.82948,68.9696836555,-0.986549853138,ENSG00000011260,81,1
ENSMUSG00000034957,Cebpa,229.52758,75.3185413005,-0.0878891183042,ENSG00000245848,92,1
ENSMUSG00000046818,Ddit4l,7.81135,41.5916080844,-0.240706458728,ENSG00000145358,93,0
ENSMUSG00000031671,Setd6,4.63584,21.0951230228,-0.420479191076,ENSG00000103037,78,1
ENSMUSG00000096225,Lhx8,4.63584,21.0951230228,-0.275448836429,ENSG00000162624,91,0
ENSMUSG00000048285,Frmd6,181.55128,72.7866871705,-0.430879419719,ENSG00000139926,94,0
ENSMUSG00000084980,Slc36a1os,4.63584,21.0951230228,-0.431076076289,NA,NA,NA
ENSMUSG00000048280,Zfp65 /// Zfp738,109.69314,67.052943761,-1.15528610442,ENSG00000196350,35,0
ENSMUSG00000048281,Dleu7,4.81569,28.0975395431,-0.292829565954,ENSG00000186047,83,1
ENSMUSG00000087579,1500017E21Rik,4.63584,21.0951230228,-0.139302035736,NA,NA,NA
ENSMUSG00000058569,Tmed9,1880.3809,93.848857645,0.706901249382,ENSG00000184840,94,0
ENSMUSG00000034402,Kcnh5,4.63584,21.0951230228,-0.264295609947,ENSG00000140015,98,1
ENSMUSG00000036766,Dner,13.09249,47.1386203866,-0.378239079727,ENSG00000187957,90,0
ENSMUSG00000036764,Dnajc12,148.15707,70.2877855888,-0.226565010417,ENSG00000108176,76,0
ENSMUSG00000055805,Fmnl1,4.63689,21.2598857645,-0.317954688277,ENSG00000184922,88,1
ENSMUSG00000070319,Eif3g,2411.23591,95.0076889279,-0.56500043787,ENSG00000130811,98,0
ENSMUSG00000036769,Wdr44,155.92168,70.9468365554,0.0649422376547,ENSG00000131725,92,1
ENSMUSG00000072244,Trim6,29.59425,54.5474516696,-0.033897553924,ENSG00000121236,76,0
ENSMUSG00000021583,Erap1,76.02367,63.3128295255,0.166063158218,ENSG00000164307,84,1
ENSMUSG00000086999,Bcas1os2,4.63584,21.0951230228,-0.243128323944,NA,NA,NA
ENSMUSG00000021587,Pcsk1,28.82227,54.3222759227,-0.0509964508292,ENSG00000175426,93,0
ENSMUSG00000074384,AI429214,8.3538,42.4538664323,-0.22891477513,ENSG00000164743,50,1
ENSMUSG00000021585,Cast,737.29892,87.6922231986,0.652358596087,ENSG00000153113,67,1
ENSMUSG00000086992,Gm15941,4.63584,21.0951230228,-0.281098617159,NA,NA,NA
ENSMUSG00000074388,Gm5544,4.63584,21.0951230228,-0.131058515442,NA,NA,NA
ENSMUSG00000021589,Rhobtb3,24.26069,52.7735061511,-0.886527460227,ENSG00000164292,96,0
ENSMUSG00000086996,4933416E14Rik,4.63584,21.0951230228,-0.176258859816,NA,NA,NA
ENSMUSG00000079808,C130026I21Rik /// LOC102638047,4.63584,21.0951230228,-0.161432740477,ENSG00000280755,36,0
ENSMUSG00000037145,2210407C18Rik,717.54859,87.4615553603,0.125565998749,NA,NA,NA
ENSMUSG00000001098,Kctd10,888.41078,89.2300087873,0.92050359126,ENSG00000110906,98,0
ENSMUSG00000031621,Isx,883.37436,89.1860720562,3.96178320915,ENSG00000175329,63,1
ENSMUSG00000037140,Tas2r108,4.65808,23.8851054482,-0.3195372497,ENSG00000127364,67,1
ENSMUSG00000037143,4930529M08Rik,4.63584,21.0951230228,-0.176790572538,ENSG00000089101,17,0
ENSMUSG00000054293,A630033H20Rik,4.63584,21.0951230228,-0.485420824613,NA,NA,NA
ENSMUSG00000084846,A730011C13Rik,4.63584,21.0951230228,-0.429519587825,NA,NA,NA
ENSMUSG00000084847,Gm15507 /// Gm15507,4.63584,21.0951230228,-0.354824253549,NA,NA,NA
ENSMUSG00000084844,Hoxb3os /// Hoxb3os,4.88563,29.2508787346,-0.265648239559,NA,NA,NA
ENSMUSG00000031627,Irf2,248.11073,76.2576889279,0.566443751876,ENSG00000168310,93,1
ENSMUSG00000023015,Racgap1,242.72087,76.0270210896,-0.183748072326,ENSG00000161800,84,1
ENSMUSG00000001891,Ugp2,4875.22081,97.3528119508,1.38882268265,ENSG00000169764,99,1
ENSMUSG00000035242,Oaz1,14172.78278,99.0773286467,-0.907847499608,ENSG00000104904,84,0
ENSMUSG00000034520,Gjc1,89.29346,64.8780755712,-0.28244039119,ENSG00000182963,97,0
ENSMUSG00000001305,Rrp15,103.67668,66.3938927944,-0.632872126646,ENSG00000067533,72,0
ENSMUSG00000033688,1300017J02Rik,4.63584,21.0951230228,-0.128119050681,NA,NA,NA
ENSMUSG00000020982,Nemf,1098.0565,90.7568101933,-1.06801731133,ENSG00000165525,89,1
ENSMUSG00000020986,Sec23a,1115.74455,90.8282073814,0.258519412994,ENSG00000100934,99,0
ENSMUSG00000039656,Rxrb,540.2025,84.644112478,-0.289593106977,ENSG00000204231,94,0
ENSMUSG00000039653,Baat,4.63584,21.0951230228,-0.107800427024,ENSG00000136881,69,1
ENSMUSG00000039652,Cpeb3,6.18377,37.5164762742,-0.551163661297,ENSG00000107864,96,1
ENSMUSG00000033684,Qsox1,4.63584,21.0951230228,-0.107211253484,ENSG00000116260,73,1
ENSMUSG00000033685,Ucp2,2112.49798,94.3651142355,0.480184057004,ENSG00000175567,96,0
ENSMUSG00000024534,Sncaip,4.63839,21.7322056239,-0.177318885213,ENSG00000064692,81,1
ENSMUSG00000024535,Snx24,590.95455,85.6162126538,0.736243457489,ENSG00000064652,97,0
ENSMUSG00000024537,Psmg2,227.87921,75.2306678383,-0.726145928364,ENSG00000128789,88,1
ENSMUSG00000024530,Slmo1,5.29003,33.2601054482,-0.407857612251,ENSG00000141391,90,1
ENSMUSG00000055210,Foxd2,4.63584,21.0951230228,-1.0,ENSG00000186564,94,1
ENSMUSG00000024532,1700034E13Rik,4.64381,22.7043057996,-0.108126684932,NA,NA,NA
ENSMUSG00000024533,Spire1,4.79272,27.7405536028,-0.426368875042,ENSG00000134278,71,1
ENSMUSG00000024538,Ppic,175.64485,72.4297012302,-0.414196388994,ENSG00000168938,91,0
ENSMUSG00000024539,Ptpn2,899.07792,89.3068980668,-0.550129302857,ENSG00000175354,89,1
ENSMUSG00000031594,Fgl1,4.66281,24.1706942004,-0.109485247302,ENSG00000104760,82,1
ENSMUSG00000026208,Des,5.22282,32.7658172232,-0.0237422942159,ENSG00000175084,97,1
ENSMUSG00000026209,Dnpep,692.00506,87.1375219684,0.277473886222,ENSG00000123992,88,1
ENSMUSG00000086191,Zfp652os,7.12473,40.1856326889,-0.554110754893,NA,NA,NA
ENSMUSG00000049336,Tenm2,8.16894,42.2122144112,-0.425039741241,ENSG00000145934,98,0
ENSMUSG00000026200,Ankzf1 /// Glb1l,4.63584,21.0951230228,-0.229634305613,ENSG00000163521,78,1
ENSMUSG00000071713,Csf2rb /// Csf2rb2,23.77719,52.6032513181,-0.233963091039,ENSG00000100368,56,0
ENSMUSG00000026202,Tuba4a,2792.95155,95.644771529,-0.154908777216,ENSG00000127824,100,0
ENSMUSG00000071711,Mpst,167.13514,71.776142355,4.7196706899,ENSG00000128309,79,0
ENSMUSG00000026204,Ptprn,6.32281,38.0107644991,-0.312824163323,ENSG00000054356,87,1
ENSMUSG00000026205,Slc23a3,4.85136,28.6742091388,-0.147616003927,ENSG00000213901,75,1
ENSMUSG00000026754,Golga1,140.41888,69.7605448155,1.16448193038,ENSG00000136935,81,1
ENSMUSG00000026207,Speg,18.89043,50.5382249561,-0.237756079153,ENSG00000072195,91,0
ENSMUSG00000097172,4930444M15Rik,4.63584,21.0951230228,-0.182214175193,NA,NA,NA
ENSMUSG00000059218,Gm13084 /// Oog2,4.63584,21.0951230228,-0.139506626847,NA,NA,NA
ENSMUSG00000097170,Gm16982,5.08793,31.546572935,-0.391359976319,NA,NA,NA
ENSMUSG00000030082,Sec61a1,115.81049,67.5966608084,-0.316531178946,ENSG00000058262,100,0
ENSMUSG00000054920,Klhl5,6.4888,38.4995606327,-0.213707303988,ENSG00000109790,91,0
ENSMUSG00000067220,Cnga1,4.63584,21.0951230228,-0.191233041199,ENSG00000198515,81,1
ENSMUSG00000030087,Klf15,29.66919,54.5913884007,-0.4482510537,ENSG00000163884,85,1
ENSMUSG00000030086,Chchd6,103.29302,66.3664323374,-0.69591372756,ENSG00000159685,68,1
ENSMUSG00000059743,Fdps,4.63584,21.0951230228,-0.241671227141,ENSG00000160752,71,1
ENSMUSG00000059742,Kcnh7,4.63584,21.0951230228,-0.250050860517,ENSG00000184611,94,0
ENSMUSG00000059741,Myl3,71.76358,62.6373022847,-0.125130978211,ENSG00000160808,95,1
ENSMUSG00000045482,Trrap,543.65496,84.7155096661,-0.392472844138,ENSG00000196367,98,0
ENSMUSG00000067229,Cyp2c65,2669.91556,95.4250878735,2.63552937052,ENSG00000138115,72,1
ENSMUSG00000056749,Nfil3,63.39066,61.5169156415,-0.296028312298,ENSG00000165030,84,0
ENSMUSG00000073409,H2-Q6 /// H2-Q8 /// LOC68395,83.08581,64.2135325132,-0.481059221991,ENSG00000204592,58,0
ENSMUSG00000032309,Fbxo22,4.69897,25.6370826011,-0.423192916439,ENSG00000167196,92,1
ENSMUSG00000073406,H2-Bl,21.47598,51.7519771529,-0.178796479863,NA,NA,NA
ENSMUSG00000073400,Trim10,4.63584,21.0951230228,-0.147232446346,ENSG00000204613,84,0
ENSMUSG00000031428,Zcchc18,21.12932,51.5817223199,-0.400426722255,ENSG00000166707,63,0
ENSMUSG00000031429,Psmd10,540.4687,84.6496045694,-0.0205832447167,ENSG00000101843,94,0
ENSMUSG00000031938,4931406C07Rik,5525.76389,97.638400703,1.83547151091,ENSG00000182919,88,0
ENSMUSG00000031939,Taf1d,172.9137,72.2264938489,-0.498336776592,ENSG00000166012,56,1
ENSMUSG00000041346,Wrap53,4.63584,21.0951230228,-0.291797110708,ENSG00000141499,77,1
ENSMUSG00000041347,Bdkrb1,4.69511,25.5052724077,-0.305141553883,ENSG00000100739,68,0
ENSMUSG00000041836,Ptpre,58.71904,60.6381810193,-0.539802796098,ENSG00000132334,93,0
