mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,6.16354,35.7260544815,-0.494876201068,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,200.63517,75.834797891,4.41823876159,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.9834,26.9496924429,-0.193994046709,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,18.3655536028,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,18.3655536028,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,250.46003,78.3611599297,0.226268229471,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,70.14428,65.0098857645,-0.279060199143,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,18.3655536028,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,59.15353,63.2688927944,1.19181433016,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,333.83179,81.2829525483,-0.229530567846,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,18.3655536028,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,19.7440685413,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,18.3655536028,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,115.51414,70.0076889279,-0.242519724429,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,14.60035,49.4233304042,-0.248842381942,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.81545,34.0125219684,-0.357817347307,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,18.3655536028,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,2447.92423,95.3207381371,0.916105702349,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,154.72211,73.006370826,-0.188176702555,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,26790.4671,99.6430140598,6.12079001296,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,18.3655536028,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,67.23084,64.565026362,-0.214790003531,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.07475,28.1414762742,-0.173415382867,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,407.34322,83.2106766257,2.29484415327,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.68366,19.9912126538,-0.197871649456,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,354.62351,81.9914323374,-0.475294835152,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.51795,32.211115993,-0.164843953156,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,438.47768,83.9356326889,-0.898942225674,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,110.39965,69.5188927944,0.0257396160423,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,15.81241,50.2910808436,-1.08309944786,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,138.97226,71.8530316344,-0.0767776640049,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,28.2787785589,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,20.17694,52.9602372583,-0.829697989974,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,18.3655536028,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,18.3655536028,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.69575,20.6008347979,-0.142413202271,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,18.3655536028,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,31.3271,57.3923550088,-0.246476333478,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,12582.3815,98.8796133568,0.547065759688,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,18.3655536028,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,6.60277,37.5494288225,1.3096473693,NA,NA,NA
ENSMUSG00000008193,Spib,13.20199,48.4127855888,-0.305341430644,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,17.69692,51.5213093146,-0.421212223472,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,174.21003,74.4068541301,5.06330009986,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.85429,24.7803163445,-0.177139021793,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,7687.97162,98.1326889279,1.81485339135,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,5.25107,30.0527240773,-0.258868614649,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,6.52158,37.2803163445,-0.105720708412,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,25.91592,55.5360281195,-0.891098810032,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,7.67864,40.8336994728,-0.375266959405,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,204.13564,76.0489894552,0.588427281792,ENSG00000175105,85,1
