mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2722.46971,96.6717926186,1.42226439463,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,7.42845,37.005711775,-0.415492396488,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1796.86389,95.1724516696,-0.456407772145,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,714.57018,90.4382688928,-0.707991505941,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,17.4758347979,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2968.88708,96.9354130053,-0.232783761479,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,468.61018,87.2638400703,-0.908599087423,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,24.24584,57.1781634446,-0.607659969076,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,69.38459,68.4699033392,-0.0205062024631,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,51.34337,65.4053163445,-0.0187243067619,NA,NA,NA
ENSMUSG00000083012,Fam220a,310.37482,83.512741652,0.391598416516,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,232.78034,80.783172232,-0.677773849923,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,17.4758347979,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,50.57057,65.1966168717,0.952768350911,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,10.87843,45.6612478032,-0.0705620807727,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,6.69754,34.007029877,-0.106140839469,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,475.45631,87.4176186292,-0.30698675391,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.28537,24.5935852373,-0.470614227394,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,7478.65349,98.5391036907,9.30635849931,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,17.4758347979,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,17.4758347979,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,17.4758347979,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,7.41451,36.9672671353,-0.229946844096,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,842.63502,91.459797891,0.931629990469,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,169.50914,77.6142355009,-0.397257399519,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,17.4758347979,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,96.25418,71.7431898067,-0.0644782260158,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,17.4758347979,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,49.51192,65.0153778559,-0.940970276609,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,17.4758347979,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,7.86741,38.5270210896,-0.135766545649,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,17.4758347979,-0.139046421982,ENSG00000188393,33,0
