mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,33.77932,60.6766256591,1.23824764398,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,39.69138,61.9837434095,-0.44999061958,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.6603690685,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.6603690685,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.6603690685,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,43.02729,62.6153339192,-0.648294706616,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,28.6722,59.4409050967,-0.302825945574,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,11.50431,50.7579086116,-0.262350146045,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,43.920254833,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,8.05441,45.4031195079,-0.548738411631,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.6603690685,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,24.1816783831,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,193.05307,76.4499121265,1.12438147241,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.45999,48.204086116,-0.542523280718,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,12.11939,51.526801406,-0.306630339311,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.24153,32.5241652021,-0.495567138875,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,22.6603690685,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,642.49129,88.7631810193,-0.744311197689,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,207.40652,77.1583919156,-0.117545608244,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2777.47639,97.27043058,0.0825409342136,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.6603690685,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,58.61923,65.1032513181,-0.42797738903,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.08139,30.6513620387,-0.17340637251,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,241.49363,78.619288225,0.451986939716,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,22.6603690685,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,448.4694,85.3635764499,-0.163119571284,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.61475,35.7699912127,-0.0739300121207,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,2105.71735,96.2653778559,0.46315269823,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,78.87769,67.4648506151,-0.265366792271,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,34.82455,60.9292618629,-0.765789243452,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,80.32393,67.6351054482,-0.570422074772,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.11677,31.1181898067,-0.197676311937,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,340.53491,82.3264499121,0.518526403267,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,22.6603690685,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,22.6603690685,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,22.6603690685,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,22.6603690685,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,9.2605,47.8635764499,-0.410520636384,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,1125.57734,93.0250439367,-0.759802912493,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,22.6603690685,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,24.4013620387,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,24.2036467487,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,11.77455,51.1094024605,-0.483442368494,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,37.03377,61.4565026362,-0.253384711625,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.74891,25.5272407733,-0.177300035285,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,6392.71973,98.8466608084,1.27345456765,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,5.21298,32.2001318102,-0.263388582632,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,22.6603690685,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,62.08585,65.5975395431,-0.0278038467858,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,893.19874,91.3774165202,2.47860557304,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,107.74243,70.5074692443,-0.191520493127,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,22.6603690685,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,50.0327,63.8730228471,-0.0730515350833,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,246.24409,78.7675746924,-0.553293549723,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,26.2247363796,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,27.96866,59.2596660808,-0.216871798439,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,6.10853,38.9224516696,-0.196259452844,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,5.43471,34.3090949033,-0.136198770191,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,22.6603690685,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,64.89601,65.9105887522,-0.692266101529,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,160.31329,74.4617750439,0.206987500513,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.97587,28.9378295255,-0.261282556547,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,6.57423,41.02043058,0.880404306833,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,197.13896,76.6531195079,0.44466844786,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,6.59121,41.1302724077,0.0934882701849,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,111.3947,70.8040421793,-0.680063846751,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,4.63584,22.6603690685,-0.448013834377,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.64981,23.4457381371,-0.187221774729,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.98889,29.1739894552,-0.169964927736,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,71.19086,66.6135764499,0.778674402384,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,22.84986,57.4857205624,-0.354311510306,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,143.28049,73.1656414763,-0.474142720997,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,22.6603690685,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,12.4972,51.8618189807,-0.535264239665,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,17.2787,55.1131370826,-0.237178669316,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,260.34589,79.3277680141,-0.698314868755,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,425.03093,84.8253514938,0.133609117784,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,72.54963,66.7453866432,-0.706562259982,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,14.58335,53.5094463972,-0.523653139837,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,31.38814,60.1164323374,-0.768323322678,NA,NA,NA
