mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1490.14546,96.0347100176,-0.196736306488,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,62.00653,66.3938927944,3.00974389468,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1559.89813,96.2214411248,-0.526852082209,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1132.71131,94.4914323374,-0.151326807371,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,22.1605887522,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2889.05644,98.0283391916,-0.280477084096,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,884.01016,92.9316783831,-0.799729405445,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,60.51015,66.1687170475,-0.353145885295,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,54.64822,65.3449033392,-0.0478163875354,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.82156,26.6695957821,-0.347690483389,NA,NA,NA
ENSMUSG00000083012,Fam220a,83.7898,69.1124780316,-0.214887652742,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,413.11146,86.3246924429,-0.299850807414,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,22.1605887522,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,15.78406,55.190026362,-0.672275614307,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,22.1605887522,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,5.01979,29.8769771529,-0.10721375103,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,311.02981,83.2820738137,-0.703361229246,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,306.26097,83.1118189807,1.74390647771,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,22.1605887522,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,22.1605887522,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,5.47868,35.0889718805,1.34468117454,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,22.1605887522,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,8.19713,46.7322056239,-0.00547301658277,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,260.88592,81.3873022847,-0.495485183473,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,372.95699,85.3196397188,1.06486824315,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,22.1605887522,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,22.8471001757,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,5.55915,35.775483304,-0.095897914501,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,1356.98166,95.5953427065,2.4229548518,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,22.1605887522,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,22.1605887522,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,22.1605887522,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,225.32881,79.8605008787,-0.187716100319,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,22.1605887522,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,22.1605887522,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,17.18635,56.0138400703,-0.198164673299,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,17134.14789,99.8462214411,-0.112801803228,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,23.8960896309,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,22.1605887522,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,5.62048,36.2917398946,-0.0621684313338,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,812.6959,92.3714850615,-0.0269534739156,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,22.1605887522,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,152.8654,75.2196836555,0.379825368192,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,750.40245,91.7398945518,-0.802598818182,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,26.0654657293,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,22.57464,58.2051845343,-0.42291436492,ENSG00000141504,79,1
