ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,6.1,58.5669307333,0.598194906656,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,7.6,62.7056672761,0.154658508133,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,21.282754418,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0,21.282754418,-1.15363087577,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,34.8,90.061954093,2.39148594906,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,21.282754418,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0.1,24.9593743652,-0.193150837162,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,14.6,76.4676010563,0.221478020417,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,14,75.512898639,1.26026211394,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.2,27.5289457648,-0.272512552281,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,0.7,33.8614665854,-0.583112972525,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,10,68.3170830794,-0.357486388435,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,21.282754418,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,10.6,69.4799918749,1.23903686596,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,21.282754418,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,1.4,39.1478773106,-0.407812701596,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,16.1,78.219581556,0.145381619285,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,7.8,63.3099735933,-0.212875297338,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,5.6,57.0587040423,-0.861132668956,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,2.1,43.1545805403,-0.104932600634,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,21.282754418,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,1.1,37.2232378631,-0.264203597302,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,21.282754418,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,4.1,51.508226691,-0.300393209225,ENSMUSG00000055254,92,0,NM_001291937
