mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.82791,26.3565465729,-0.578698283991,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,80.87821,67.5856766257,0.79582902915,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.6405,21.2983304042,-0.207279788177,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.9468365554,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,5.53346,36.0281195079,1.39794336721,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,26.61742,59.6331282953,-0.71748081527,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,176.8517,74.4178383128,-0.217911072161,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,42.78984,62.9833040422,-0.167078654553,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,45.5788664323,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,7.66259,46.2983304042,-0.549122330298,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.9468365554,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,6.24414,40.8721441125,0.964478618373,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.77026,24.7528558875,-0.320493666295,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.17859,49.5441564148,-0.543319298609,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,103.35863,69.4694639719,1.81856688736,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,9.11963,49.4782513181,0.43523761907,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.9468365554,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,2294.09993,95.2108963093,0.77463688249,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,6.97558,44.2333040422,-0.386252358989,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,836.91886,89.1805799649,-0.405427010275,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.76319,24.4947275923,0.204189611278,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,201.20272,75.6096221441,3.1017924738,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.92341,28.3831282953,-0.173620748436,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,335.82479,80.8271089631,1.50015871192,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.9468365554,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,1032.47283,90.7732864675,1.7795486144,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,34.9571616872,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,3347.4355,96.7102372583,1.47760672033,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,785.5156,88.5929261863,6.26045913854,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,181.60242,74.6869507909,1.68391478418,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,60.58277,65.3339191564,-0.73658389551,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,31.0687609842,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,681.49564,87.4066344464,1.9534573754,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.88277,27.5922671353,-0.114288917377,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.81992,26.1807996485,-0.239025021659,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,6.81531,43.6401581722,0.0415146541713,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.9468365554,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,4.63584,20.9468365554,-0.444900610004,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,168.88443,73.9455184534,-0.868932123005,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,20.9468365554,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,6.45357,41.9650702988,1.17744827,NA,NA,NA
ENSMUSG00000008193,Spib,8324.29319,98.6434534271,6.43255184975,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,8.13699,47.5505272408,-0.521664547507,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,33.92416,61.368629174,-0.373907142085,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.80131,25.7139718805,-0.177219971639,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,5794.37283,98.105228471,1.02335317013,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,71.74324,66.6630052724,7.63145639224,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.9468365554,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,138.52651,72.1166520211,1.79666296211,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,59.73458,65.2130931459,-0.20749999701,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,113.55283,70.3317223199,-0.144506719528,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,20.9468365554,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,17.59029,56.6234622144,-0.134631799284,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,221.47895,76.5103251318,-0.562142466618,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,15.78502,55.7502196837,7.00238207142,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,29.42345,60.3745606327,-0.214883944815,ENSG00000114126,83,1
