mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1372.96422,95.8754393673,-0.350686461829,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,27.11403,60.0670035149,0.819944303167,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,913.15202,93.7554920914,-0.719114388397,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,603.12524,90.8666520211,-0.856356398752,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,6.09657,38.3183216169,2.5194035759,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3548.75201,98.5226274165,0.113645694444,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,401.85965,87.0551405975,-0.926093332302,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,46.44545,65.0373462214,-0.451856276701,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,41.57704,64.0597539543,-0.0720405584074,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,5.19677,31.2280316344,-0.345037289132,NA,NA,NA
ENSMUSG00000083012,Fam220a,80.36692,70.1999121265,-0.224049463336,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,140.75006,76.2027680141,-0.870643297084,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.3701669596,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,41.89796,64.1476274165,0.547629331699,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,20.3701669596,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.74403,23.3304042179,-0.107390097978,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,249.05755,82.1616871705,-0.852754557224,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,263.66506,82.677943761,1.43049394644,ENSG00000196329,55,0
