mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,5.43621,33.6225834798,-0.540522312321,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,54.4106,60.9896748682,-0.00476350474819,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,5.70028,35.1329086116,-0.166218361833,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.913884007,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,5.13301,31.6344463972,0.610475012178,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,104.11283,67.8438049209,-0.39075026491,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,1319.86235,92.5087873462,0.437095893407,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,5.27728,32.7383567663,-0.281312856143,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,100.31564,67.3440246046,2.458208157,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,737.86502,88.8126098418,0.166355040192,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.913884007,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,5.17237,31.9035588752,0.000480487589011,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,20.913884007,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,10.54205,44.4255272408,-0.539462374114,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,12.75121,46.5180140598,-0.291913621901,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.40405,33.4523286467,-0.456559792685,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.913884007,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1269.15338,92.2891036907,-0.167983879296,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,117.33763,69.2333040422,-0.238296021204,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3788.67613,96.8859841828,0.336814796734,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,5.83113,35.7864674868,3.92860241421,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,47.73452,59.5562390158,-0.69743720744,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.87138,28.7510984183,-0.17369135218,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,236.2631,77.5153778559,0.393867290814,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.913884007,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,552.90096,86.3356766257,0.184268575382,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.29945,32.8921353251,-0.370057756009,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1718.73019,93.9532073814,0.146993446662,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,65.97538,62.8734622144,-0.384520078521,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,164.5532,73.3304042179,1.39936546552,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,80.35722,64.9989015817,-0.570141872037,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,31.2060632689,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,46.9717,59.3804920914,-0.716932420124,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.6692,24.1487258348,-0.115847817845,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.67246,24.3079964851,-0.366180076005,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,20.913884007,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.913884007,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,94.55466,66.6630052724,0.223560781649,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,5513.41045,97.7537346221,-0.259286228247,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,20.913884007,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.66184,23.8082161687,-0.410119372025,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,24.5551405975,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,89.71317,66.1302724077,0.335508765159,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,36.06056,56.7387961336,-0.291104436783,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.74381,26.6311511424,-0.177307827739,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,2517.58181,95.6063268893,-0.346303818945,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.94247,29.6298330404,-0.295488780559,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.913884007,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,31.04398,55.2065026362,-0.768703539451,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,7.40453,40.1526801406,-0.376150366794,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,68.73811,63.3402899824,-0.50711671195,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,20.913884007,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,24.44093,52.8888400703,-0.121628319544,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,49.4765,59.9791300527,-0.623601250449,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,27.7350615114,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,184.07452,74.5935852373,-0.00356568586258,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,4.86007,28.5478910369,-0.335911674571,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,8.63818,42.1408172232,-0.0473728656501,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,15.44804,48.5665641476,0.279633286103,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,124.26962,69.8594024605,-0.0807180096743,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,80.58108,65.0263620387,-0.472225828752,NA,NA,NA
ENSMUSG00000032419,Tbx18,10.98995,45.0131810193,-0.125762898458,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.68493,24.8132688928,-0.403983249989,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,196.68599,75.3734622144,0.438175292044,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,20.913884007,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,152.19239,72.3967486819,-0.405634380166,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,7.82259,40.9600175747,-0.0304791782534,ENSG00000169131,83,1
