mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,917.60401,89.2080404218,-0.948928766361,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,25.3240333919,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3132.90674,95.9578207381,-0.0592338648939,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,640.90589,85.8468804921,-0.80605961464,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.5619507909,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,6806.03862,98.0832601054,2.0596506513,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,11639.68608,98.8082161687,2.01916099715,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,187.38824,72.8196397188,0.537323582573,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,19.43289,55.4206942004,-0.113079215469,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.66572,22.8965289982,-0.348792463062,NA,NA,NA
ENSMUSG00000083012,Fam220a,258.60688,76.3565465729,0.253034382388,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,675.41883,86.368629174,0.249871277951,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.84944,27.9986818981,-0.107725398982,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,46.51449,61.2203427065,0.763289488949,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,6.22063,40.9490333919,-0.102318190319,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.5619507909,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,347.79397,79.7616432337,-0.614735766615,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,524.44755,83.9301405975,3.34928146155,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,39.0833,60.1493848858,-0.0727755026592,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.5619507909,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,6.75715,43.1788224956,3.92190064587,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.5619507909,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,5.91516,39.3123901582,-0.659995697027,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,776.93064,87.7581282953,0.770447587793,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,298.29972,77.8668717047,0.528326279795,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.5619507909,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.63584,21.5619507909,-0.110521172002,NA,NA,NA
ENSMUSG00000035420,Fam170a,5.12696,32.6834358524,-0.102194445286,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,400.85446,81.25,-0.0370181905104,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.5619507909,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,21.5619507909,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.82971,27.5373462214,-0.131260970617,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,5.24524,34.0619507909,-0.338845821047,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.83544,27.7021089631,-0.131903277247,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.5619507909,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.78494,53.3611599297,-0.377263036229,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,19940.08891,99.3629173989,0.260197039581,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.6604,22.737258348,-0.389778268315,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.5619507909,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,21.5619507909,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,800.55762,88.0547012302,-0.052086215258,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,74.90828,64.6034710018,-0.0455493625439,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,96.2098,66.6739894552,-0.542488316449,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,6065.35613,97.7702108963,-0.196326217073,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,26.5817223199,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,10.69193,50.19771529,-0.565634170075,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,392.81671,81.0577768014,0.459835202189,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,493.05758,83.3754393673,0.67488225458,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,712.75956,86.9288224956,6.94307283312,ENSG00000092929,88,1
