ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,3.6,49.4363193175,-0.753657989742,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,4.4,52.6559008735,-0.167232370583,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,21.4046313224,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,4,51.1629087954,3.6406792573,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,11.2,71.3792403006,-0.396489025825,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0.2,27.4324598822,0.301511344578,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0.1,25.1980499695,-0.193150837162,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,12.2,73.0905951655,-0.111389141384,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,9.5,67.8244972578,-0.0443945676369,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.1,25.1980499695,-0.317004397552,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,2.3,43.4034125533,-0.524296218795,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,7.3,62.0404225066,-0.629138314211,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,21.4046313224,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,7.8,63.5994312411,0.254837369595,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0.2,27.4324598822,-0.167360842634,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,0.6,32.7391834247,-0.735085590651,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,21.7,84.206784481,0.688139664617,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0,21.4046313224,-0.768086104189,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,8.9,66.3467397928,-0.301873075833,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,2.5,44.4190534227,0.00793607903957,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,21.4046313224,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,1.7,40.2346130408,-0.263208831434,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,21.4046313224,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,0.9,35.2985984156,-0.37325030213,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,9.1,66.7783871623,-0.0843335972613,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,24.2,85.8775137112,1.5451012041,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,21.4046313224,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,13.1,74.5378834044,0.71029461268,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,1.5,39.2138939671,-0.243416903113,ENSMUSG00000048776,86,0,NM_002820
