mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,24.7803163445,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,114.29282,67.4813268893,1.80655448903,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,7.46236,41.3279876977,-0.0979461561577,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.7221001757,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,19.7221001757,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,586.45417,85.8084358524,1.6428624546,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,2613.86823,95.5733743409,1.17863129807,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,19.7221001757,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,41.1961775044,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,224.43173,75.4778119508,-0.336724496603,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.89439,28.0700790861,0.0726382364023,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.65668,21.1939806678,-0.463354286723,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,19.7221001757,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,35.58696,56.9914323374,-0.468615904957,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,12.95896,48.0997363796,-0.287074588566,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.01989,29.8550087873,-0.548764211295,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,390.77884,81.617970123,4.15949830955,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1264.9531,91.8991652021,-0.171846784277,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,83.69519,64.4387082601,-0.283398592392,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2180.78796,94.8044815466,-0.0675009079818,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,19.7221001757,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,64.69973,62.2528558875,-0.277449683116,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.08139,30.585456942,-0.17340637251,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,108.72314,67.0035149385,-1.02330796601,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,19.7221001757,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,135.11111,69.3706063269,-1.20549560785,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.25112,32.3648945518,-0.415448982975,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,909.11388,89.6309314587,-0.514443709617,ENSG00000149136,98,1
