mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,886.29156,89.2629613357,-0.9900663797,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.90708,27.6636643234,-0.573729696654,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2723.01044,95.6118189807,-0.181086330209,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,888.89574,89.295913884,-0.475914634406,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.946397188,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,6195.9988,97.8416080844,1.69519377178,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,5850.512,97.7537346221,0.501911186497,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,474.38076,83.441344464,2.55152537712,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,7.92926,43.0579964851,-0.13439832352,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,116.84417,68.5303163445,0.444446574638,NA,NA,NA
ENSMUSG00000083012,Fam220a,152.34867,71.1829964851,-0.0313803777286,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1119.82455,91.0094463972,1.18122002026,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,6.14107,37.6647627417,-0.102351480704,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,37.86634,58.3205184534,0.359293113118,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.946397188,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.946397188,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,556.16993,84.9846221441,-0.112414596867,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.27806,32.3209578207,-0.470668012971,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.946397188,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.946397188,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.946397188,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.946397188,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.56463,39.3892794376,-0.473712421932,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,614.05661,85.8688488576,0.37089389763,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,264.53026,77.191344464,0.285634143187,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,5.92555,36.7201230228,-0.0992579497335,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,5.42944,33.5347100176,-0.110122347029,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,21.946397188,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,102.99155,67.3659929701,-0.803375144798,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.946397188,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,21.946397188,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,21.946397188,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,6.22582,38.0547012302,-0.338172464187,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,21.946397188,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.946397188,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,50.6425746924,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,19926.95717,99.4727592267,0.2584514135,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.66082,23.105228471,-0.389773176522,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.946397188,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,21.946397188,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,706.57044,87.1979349736,-0.246690021105,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,210.24028,74.5826010545,0.196996821814,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,137.31582,70.1614674868,0.126689042314,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,521.36638,84.3145869947,-0.828724783198,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.77184,25.269112478,-0.133254567117,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,29.88566,56.5575571178,-0.335103810772,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,496.25042,83.8477592267,1.01185090202,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,682.44356,86.8409490334,1.54478028321,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,24.67981,55.0417398946,-0.329065562539,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,21.946397188,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,43031.73762,99.9121265378,0.338610145353,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,5.96781,36.9452987698,-0.317353278806,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,21.946397188,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,36.1159929701,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,455.25892,83.0404217926,-0.176047607716,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,21.946397188,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,91.067,66.1083040422,-0.449452977214,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.95394,28.4984622144,-0.374878299028,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,21.946397188,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,28.98535,56.3104130053,-0.153549852003,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,777.57459,88.0986379613,0.39231750658,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,15.32467,50.8457820738,-0.0494596497863,NA,NA,NA
ENSMUSG00000021598,Med10,1681.56869,93.5413005272,0.491800286907,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,21.946397188,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,5.07956,30.2010105448,-0.133932898553,NA,NA,NA
ENSMUSG00000019913,Sim1,4.73229,24.5661247803,-0.15567549133,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,716.14202,87.3626977153,0.768467165771,ENSG00000091073,85,1
