mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,5.07396,29.8605008787,-0.563256564725,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,35.08244,54.9758347979,-0.589401883128,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,20.2328646749,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.2328646749,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.66396,23.0557996485,-0.311892404295,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,583.63482,85.8358963093,1.63097571476,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,1211.81304,91.6135764499,0.375177790828,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.2328646749,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,46.25982,57.6285149385,0.795126338489,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,5069.67399,97.3857644991,4.41080995294,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.64278,21.2159490334,-0.221039607591,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.65668,22.5670035149,-0.463354286723,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,20.2328646749,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,30.34701,53.5643673111,-0.48343855579,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,14.02125,46.4356326889,-0.262331114574,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,7.54944,39.4551845343,0.0583674190031,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.2328646749,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,767.46715,88.4007029877,-0.629373652548,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,332.56652,79.9648506151,0.0502495281922,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2434.29097,95.0406414763,-0.00375564879771,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.2328646749,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,63.40458,60.8194200351,-0.309512171121,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.72989,25.3460017575,-0.173883351482,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,88.86931,64.3782952548,-1.24391613171,ENSG00000121864,93,0
