mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,723.01162,88.0162565905,-1.20458000088,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,6.70583,38.631370826,-0.460842915391,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1335.8019,92.5801845343,-0.593470585701,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1077.17637,91.1028119508,-0.225259598042,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.9907732865,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,9674.62839,98.7203427065,3.77343595176,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,11674.77796,98.940026362,2.02835801689,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,184.951,73.473198594,0.52021828247,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,19.23792,51.3071177504,-0.113440543719,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.70438,24.3903778559,-0.348519089511,NA,NA,NA
ENSMUSG00000083012,Fam220a,410.8476,82.579086116,0.660527674988,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,189.62433,73.8137082601,-0.768216645385,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.9907732865,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,19.7975,51.5213093146,-0.484788670323,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,8.84669,42.8218365554,-0.084414147845,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.9907732865,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,519.96915,84.9846221441,-0.199681948415,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.39215,32.7987697715,-0.469828560646,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.9907732865,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.9907732865,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.9907732865,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,20.9907732865,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,38.2688927944,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,570.92689,85.9512302285,0.265090420049,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,125.23443,69.1893673111,-0.715447976674,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.68256,23.5830404218,-0.10934556113,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,5.22485,31.5520650264,-0.110225164067,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.9907732865,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,270.47907,77.9767135325,-0.372454673,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,20.9907732865,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.9907732865,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.9907732865,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,5.9863,35.9512302285,-0.338336940757,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,20.9907732865,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.9907732865,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,16.66329,49.9945079086,-0.237174750593,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,10438.97101,98.8137082601,-1.00280384206,NA,NA,NA
ENSMUSG00000020758,Itgb4,12.36913,46.7322056239,-0.296322888442,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.9907732865,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,20.9907732865,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,337.23166,80.4591388401,-1.01141912815,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,169.57926,72.5724956063,0.124122887688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,80.3494,64.7517574692,-0.800684575316,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,6443.11072,98.0777680141,-0.153236047026,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,3271.81369,96.5564586995,0.547090158391,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,45.40918,59.0674428822,-0.148655286007,ENSG00000141504,79,1
