mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,29.0092267135,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,49.3828,58.4907732865,-0.156844449795,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.64503,22.1935413005,-0.207104272257,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.9417838313,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,19.9417838313,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,380.91465,81.8596221441,0.776281575934,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,1189.56952,91.9485940246,0.362431049983,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.79897,26.8014059754,-0.282769417918,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,128.74744,69.1344463972,3.33294115795,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,487.31242,84.5123022847,-0.0791449856263,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,19.9417838313,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.65668,23.0228471002,-0.463354286723,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,19.9417838313,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.08959,41.5971001757,-0.543571059775,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,14.83917,46.9573813708,-0.24327964817,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,7.69669,39.4551845343,0.0937097259595,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,19.9417838313,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1311.49742,92.5801845343,-0.129040998575,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,1968.53854,94.6561950791,2.24350734459,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,1359.45566,92.8383128295,-0.274031159199,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,19.9417838313,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,66.38724,61.4290421793,-0.235674005292,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.67818,24.0718365554,-0.173953520992,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,172.44711,72.6438927944,-0.315231583122,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,19.9417838313,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,705.11166,88.0272407733,0.690592458464,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.03174,29.6463093146,-0.621489276201,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,781.83651,88.9554042179,-0.618426275966,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,62.85426,60.8249121265,-0.4133437314,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,58.27761,60.0505272408,-0.374360647696,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,153.16137,71.1994727592,0.0426524177255,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.95082,35.0285588752,-0.0864581745918,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,91.43469,65.0263620387,-0.529810221434,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,19.9417838313,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,19.9417838313,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,19.9417838313,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,19.9417838313,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,151.11833,71.0456942004,0.644058176578,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,7227.25459,98.2535149385,-0.0637893702851,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,19.9417838313,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,24.3684094903,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,6.28224,36.2478031634,-0.310951348271,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,21.94165,50.6810193322,-0.376610119335,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,35.58417,55.3273286467,-0.309568385846,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.99344,29.2179261863,-0.176926410033,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,1358.45411,92.8273286467,-0.830804461751,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,27.9986818981,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,19.9417838313,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,240.61417,76.6750878735,4.23326603786,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,16.79015,48.0503075571,-0.345902196123,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,72.85767,62.5768892794,-0.47378405651,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,19.9417838313,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,17.42173,48.4402460457,-0.134951749908,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,984.20681,90.6359841828,-0.289609565664,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.85129,27.5757908612,-0.280011209385,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,57.80983,59.9351933216,-0.176096237756,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.691,33.9026801406,-0.242964186786,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,26.54222,52.4220123023,0.449070849427,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,6.18785,35.901801406,-0.182828897881,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,86.44479,64.3837873462,-0.470313700609,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,92.12647,65.0867750439,-0.373874324641,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.96235,28.9103690685,-0.261587212584,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.66256,23.374340949,-0.419190866379,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,146.14403,70.5349297012,-0.286324832767,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,19.9417838313,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,149.57061,70.8589630931,-0.423270027844,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,4.68092,24.1706942004,-0.442107358407,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.678,24.066344464,-0.185310930856,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,50.90331,58.7434094903,0.820915315666,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,14.55568,46.7267135325,-0.367532643655,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,22.32174,50.8897188049,-0.382571713566,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,363.60976,81.3982864675,0.793295768681,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,19.9417838313,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,27.153,52.6416959578,0.167860657292,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,5.28848,31.7827328647,-0.277434176332,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,1749.51963,94.1399384886,1.73724536484,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,699.46305,87.9723198594,0.509763477471,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,176.87115,72.9789103691,0.167275215034,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,147.39094,70.6282952548,0.0540236671109,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,281.19426,78.5753514938,0.548030840733,NA,NA,NA
ENSMUSG00000078861,Zfp931,447.47791,83.540202109,-0.116808368787,NA,NA,NA
ENSMUSG00000032897,Nfyc,641.06457,87.230887522,-0.681783538909,ENSG00000066136,94,0
ENSMUSG00000075045,4933403O03Rik /// Gm4981 /// Gm9919,4.63584,19.9417838313,-0.577470888189,NA,NA,NA
ENSMUSG00000039841,Zfp800,152.86346,71.1665202109,-0.313322371291,ENSG00000048405,94,1
ENSMUSG00000009734,Pou6f2,4.63584,19.9417838313,-0.299343357625,ENSG00000106536,85,0
ENSMUSG00000043059,Zfp513,52.77854,59.1168717047,-0.400818383544,ENSG00000163795,95,0
ENSMUSG00000049577,Zfpm1,27.41965,52.7076010545,-0.323852784148,ENSG00000179588,67,1
ENSMUSG00000049576,Zfa-ps /// Zfx,4.63584,19.9417838313,-0.464041160059,NA,NA,NA
ENSMUSG00000078768,Zfp566,16.27979,47.7262741652,-0.58046719678,ENSG00000186017,74,1
ENSMUSG00000023781,Hes7,4.63584,19.9417838313,-0.150918681849,ENSG00000179111,90,0
ENSMUSG00000019826,Zbtb24,83.1287,63.927943761,-0.543952554844,ENSG00000112365,82,0
ENSMUSG00000036144,Meox2,89.57806,64.8066783831,0.141192497304,ENSG00000106511,98,1
ENSMUSG00000029127,Zbtb49,4.63584,19.9417838313,-0.254746467044,ENSG00000168826,74,0
