mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,3343.03316,96.6608084359,2.23754710991,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,30.0142794376,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3617.09518,96.9354130053,0.0847038947075,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,729.22067,88.7357205624,-0.688487539422,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.6887082601,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,868.43555,90.0922671353,-1.48765923865,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1469.3352,93.1513620387,-0.646325086653,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,33.65729,56.4422231986,-0.541607517677,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,10.87194,45.3591827768,-0.128944800338,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.65724,23.7203427065,-0.348852427049,NA,NA,NA
ENSMUSG00000083012,Fam220a,37.1509,57.4307996485,-0.339723103627,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,110.66303,68.5248242531,-0.933697205459,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.6887082601,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,11.6423,46.0676625659,-0.865756998136,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,20.6887082601,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.6887082601,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,459.15921,84.7814147627,-0.346273331572,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.19887,32.0738137083,-0.471250677794,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.6887082601,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.6887082601,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.6887082601,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,20.6887082601,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,11.85258,46.3312829525,1.04299603964,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,109.43847,68.4039982425,-0.867007810581,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,107.30665,68.1403778559,-0.844290168195,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,20.6887082601,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,23.0393233743,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.6887082601,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,39.05712,57.8811511424,-0.967868921646,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,380.85457,82.8646748682,5.90718900519,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.6887082601,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.6887082601,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,1186.63922,92.0584358524,0.472408477797,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,20.6887082601,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.6887082601,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,48.8466608084,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,11623.76266,99.1816783831,-0.845307333305,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,24.9670474517,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.6887082601,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,20.6887082601,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,589.54289,86.9233304042,-0.488999734185,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,20.6887082601,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,254.52552,78.0755711775,2.03478127473,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,11832.58795,99.1926625659,0.46153739703,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.77184,27.0540421793,-0.133254567117,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,91.83783,66.3444639719,0.408985848179,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,270.46157,78.8170035149,-0.193162338317,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,729.63078,88.7467047452,1.76152319974,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,5.33218,33.0129613357,-0.533545701633,ENSG00000092929,88,1
