mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,863.39734,88.8510544815,-1.02014430621,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,5.64737,32.309973638,-0.52727023575,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2290.39511,94.1399384886,-0.309692625248,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1261.58118,91.2346221441,0.0202356202196,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,18.0085676626,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3416.0929,95.6777240773,0.0343909905936,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,5960.46614,97.2210017575,0.530728405636,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,165.04331,73.769771529,0.380499989731,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,7.7016,41.7234182777,-0.134820234529,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,598.12449,85.9402460457,3.84768790932,NA,NA,NA
ENSMUSG00000083012,Fam220a,116.83774,70.5568980668,-0.126430281519,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,835.16389,88.5489894552,0.584651758996,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,18.0085676626,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,13.05466,50.2471441125,-0.799778919429,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,12.61212,49.6924428822,-0.058742069274,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,5.55502,31.5136203866,-0.106871474496,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,1585.03746,92.4648506151,2.36782324432,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.29489,36.3521528998,-0.463186372969,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,502.86523,84.375,0.511918607091,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,18.0085676626,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.68954,19.6452108963,-0.246116398811,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,18.0085676626,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,8.01789,42.6296133568,-0.0568832652902,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,569.22059,85.5008787346,0.26090461792,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,211.00429,76.1258787346,-0.0990427815656,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,18.0085676626,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,18783.29507,99.3134885764,9.32672460886,NA,NA,NA
ENSMUSG00000035420,Fam170a,8.65858,43.9916520211,-0.0507426438799,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,201.64944,75.7304481547,-0.549543071188,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,18.0085676626,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.80808,21.8530316344,-0.175311748486,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.77225,21.2159490334,-0.133568455196,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,1232.15114,91.0808435852,0.503661168579,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,70.42681,65.8886203866,8.94637052207,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.79632,21.6717926186,-0.13600420839,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,15.0113,51.9716608084,-0.360380993832,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,8105.9827,97.9239894552,-1.31293222099,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,19.5298769772,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,18.0085676626,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,18.0085676626,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,443.07123,83.1612478032,-0.792274526393,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,18.0085676626,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,145.14729,72.5670035149,0.254179916153,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,15085.26844,98.9949472759,0.832568111497,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,44886.38303,99.8407293497,9.21311099763,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,99.70223,69.0740333919,0.50344289002,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,131.25254,71.6827768014,-0.936107458613,ENSG00000137574,73,1
