mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,5.45208,33.6884885764,-0.539526335549,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,85.3768,66.9760544815,0.931902424786,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.5505272408,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,5.7381,36.0171353251,2.36532431881,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.5505272408,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,52.66672,63.4940685413,-0.60765363808,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,21.20125,57.0902899824,-0.307107204274,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,22.5505272408,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,44.2333040422,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,1551.65537,93.0909490334,0.963734719889,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.5505272408,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,24.0553602812,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,22.5505272408,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,8.08803,46.040202109,-0.546404249818,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,15.92509,54.6353251318,-0.217985770531,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.03617,29.086115993,-0.544856756237,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,22.5505272408,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,3505.84034,96.6278558875,1.88904784213,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,5.0195,28.9213532513,-0.388874767989,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,4688.73585,97.5010984183,0.563141656255,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.5505272408,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,53.34561,63.5709578207,-0.558530126545,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.08139,29.651801406,-0.17340637251,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,344.53632,80.5195518453,1.59695790148,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,22.5505272408,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,1702.77861,93.5577768014,4.00929872647,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.3809314587,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,3419.53107,96.5674428822,1.53650707623,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,193.31953,74.3684094903,0.79150762173,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,49.09971,62.9778119508,-0.527538634235,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,131.50796,70.6996924429,-0.13960485747,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,29.7286906854,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,245.0034,76.8453427065,0.116482676666,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,22.5505272408,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,22.5505272408,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.92521,27.6856326889,-0.122501481943,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,22.5505272408,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,5.874,36.8629173989,-0.435696061315,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,356.33427,80.8490773286,-0.847549866655,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,22.5505272408,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.66184,23.6818980668,-0.410119372025,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,24.0718365554,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,7.66388,44.9637521968,-0.526635818116,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,38.69311,61.3741212654,-0.189071923282,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.85429,26.8728031634,-0.177139021793,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,4125.58344,97.1550966608,0.325820420145,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,27.2242970123,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,5.42341,33.4028998243,-0.115010820878,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,95.6117,67.9426625659,0.772382867525,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,1529.7758,92.9701230228,4.53017931633,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,216.63932,75.565685413,0.689598488709,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,22.5505272408,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,28.25978,59.1663005272,-0.1143796043,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,407.85569,82.4143233743,-0.495547556053,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.78856,26.0544815466,-0.32179242499,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,216.39168,75.5382249561,0.0405931161779,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,6.70298,41.5092267135,-0.129764520523,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,22.5505272408,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,22.5505272408,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,336.94923,80.288884007,2.10988164684,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,74.20692,65.9380492091,-0.526525269779,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,22.5505272408,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.64671,23.1985940246,-0.429966043839,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,112.44533,69.3706063269,-0.769383114559,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,22.5505272408,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,227.63393,76.0654657293,0.101830174337,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,4.63584,22.5505272408,-0.448013834377,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.64981,23.2809753954,-0.187221774729,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,7.018,42.8218365554,-0.126174654208,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,8.93499,47.6823374341,-0.481286576839,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,58.56697,64.2629613357,1.55694500047,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,144.63982,71.6168717047,-0.466323209943,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,22.5505272408,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,43.41499,62.2144112478,0.948043932383,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,726.51571,87.7032073814,2.14398659971,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,545.17621,85.1493848858,-0.232471708834,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,7.80463,45.3372144112,-0.438268152709,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,149.96631,71.9683655536,-0.0580901501498,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,77.55392,66.2950351494,-0.249748329056,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,73.95284,65.921572935,-0.544028497318,NA,NA,NA
ENSMUSG00000078861,Zfp931,503.9382,84.4683655536,-0.012998335382,NA,NA,NA
ENSMUSG00000032897,Nfyc,665.4799,86.9837434095,-0.612787197321,ENSG00000066136,94,0
ENSMUSG00000075045,4933403O03Rik /// Gm4981 /// Gm9919,5.67173,35.5228471002,1.8165875891,NA,NA,NA
ENSMUSG00000039841,Zfp800,428.58866,82.9360720562,1.3697851638,ENSG00000048405,94,1
ENSMUSG00000009734,Pou6f2,5.62005,35.1548769772,0.672318921831,ENSG00000106536,85,0
ENSMUSG00000043059,Zfp513,33.19473,60.4130052724,-0.79351743482,ENSG00000163795,95,0
ENSMUSG00000049577,Zfpm1,1798.45473,93.8323813708,6.28965380263,ENSG00000179588,67,1
ENSMUSG00000049576,Zfa-ps /// Zfx,4.63584,22.5505272408,-0.464041160059,NA,NA,NA
ENSMUSG00000078768,Zfp566,28.99109,59.375,-0.382701257205,ENSG00000186017,74,1
ENSMUSG00000023781,Hes7,4.63584,22.5505272408,-0.150918681849,ENSG00000179111,90,0
ENSMUSG00000019826,Zbtb24,72.71166,65.82271529,-0.652972760935,ENSG00000112365,82,0
ENSMUSG00000036144,Meox2,4.63584,22.5505272408,-0.300972119109,ENSG00000106511,98,1
ENSMUSG00000029127,Zbtb49,4.63584,22.5505272408,-0.254746467044,ENSG00000168826,74,0
ENSMUSG00000025529,Zfp711,5.7954,36.368629174,-0.420246913597,ENSG00000147180,95,0
ENSMUSG00000037868,Egr2,91.10878,67.5362478032,-0.374209279658,ENSG00000122877,89,0
ENSMUSG00000079560,Hoxa3,4.63584,22.5505272408,-0.373698409377,ENSG00000105997,94,0
ENSMUSG00000002578,Ikzf4,5.11538,30.1515817223,0.00119437511127,ENSG00000123411,97,0
ENSMUSG00000039476,Prrx2,4.88886,27.2737258348,-0.274193464403,ENSG00000167157,90,0
ENSMUSG00000017801,Mlx,189.90038,74.2311072056,-0.0917267577037,ENSG00000108788,95,0
