ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,2.1,49.481865285,0.878729378775,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,5.6,72.2150259067,-0.0529057934002,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,21.8264248705,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,21.8264248705,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,4.2,65.9974093264,-0.119214017333,NA,NA,NA,NM_023074
ENSG00000079263,SP140,2.3,51.5544041451,-0.25725141104,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,1.8,46.5025906736,-0.553137174169,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,5.1,70.1424870466,-0.464521927146,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,20.2,92.3575129534,-0.425613080466,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,4,65.3497409326,-0.617572270862,NA,NA,NA,NM_001289166
ENSG00000198416,,0,21.8264248705,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.3,28.1735751295,-0.223168293963,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,21.8264248705,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,21.8264248705,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,14.4,89.0544041451,-0.586736666196,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,21.8264248705,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,3.8,64.1191709845,0.669110166406,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,9,81.1528497409,-0.642812762217,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,21.8264248705,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,5.6,72.2150259067,-0.164783548832,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,21.8264248705,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,2.4,52.3316062176,-0.809771911755,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,3.8,64.1191709845,-0.297636949638,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,4.3,66.3212435233,0.299810199177,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,13.6,87.8238341969,-0.440092266937,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,1.7,45.5310880829,-0.461136900677,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,3.6,62.4352331606,-0.0697658790273,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,25.7,94.7538860104,-0.0667391088657,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,4.5,67.4222797927,-0.399795257561,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0.1,24.2875647668,-0.0659643568706,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,21.8264248705,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,8.3,79.2098445596,1.26979091127,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,4.7,68.329015544,-0.267395052928,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,21.8264248705,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,2.4,52.3316062176,-0.264245031001,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,21.8264248705,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,0.1,24.2875647668,-0.3259720062,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,8.9,80.8937823834,-0.422647765938,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,4,65.3497409326,-0.798289881913,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0,21.8264248705,-0.300398752796,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,4.9,69.5595854922,-0.880686196014,ENSMUSG00000022987,79,0,NM_152320
ENSG00000054598,FOXC1,1.1,38.4715025907,-0.321189579078,ENSMUSG00000050295,93,1,NM_001453
ENSG00000132130,LHX1,0,21.8264248705,nan,NA,NA,NA,NA
ENSG00000057657,PRDM1,10.3,83.9378238342,0.287440921575,ENSMUSG00000038151,89,1,NM_182907
ENSG00000168610,STAT3,50.5,97.9922279793,0.0752259402926,ENSMUSG00000004040,100,0,NM_003150
ENSG00000189120,SP6,0.8,34.8445595855,-0.118389674623,ENSMUSG00000038560,96,0,NM_001258248
ENSG00000105722,ERF,13.5,87.6943005181,-0.580716133579,ENSMUSG00000040857,97,1,NM_001308402
ENSG00000162599,NFIA,9.5,82.5129533679,-0.357404961003,ENSMUSG00000028565,91,0,NM_005595
ENSG00000152926,ZNF117,2.3,51.5544041451,-0.842333908106,ENSMUSG00000055341,50,0,NM_015852
ENSG00000152433,ZNF547,0.4,29.4689119171,-1.25932784402,NA,NA,NA,NM_173631
ENSG00000140044,JDP2,15.5,89.896373057,-0.0663555191341,ENSMUSG00000034271,90,1,NM_001135048
ENSG00000141510,TP53,22,93.5233160622,0.57151135813,ENSMUSG00000059552,77,0,NM_001126114
ENSG00000152439,ZNF773,1.9,47.2150259067,-0.60890347115,ENSMUSG00000063535,36,0,NM_198542
ENSG00000139651,ZNF740,3.8,64.1191709845,-0.153579766374,ENSMUSG00000046897,79,0,NM_001004304
ENSG00000162601,MYSM1,5.8,72.8626943005,-0.17761850581,ENSMUSG00000062627,78,0,NM_001085487
ENSG00000135100,HNF1A,2.7,55.0518134715,0.372079260811,ENSMUSG00000029556,94,1,NM_001306179
ENSG00000067646,ZFY,2.1,49.481865285,0.378093021427,ENSMUSG00000053211,69,0,NM_003411
ENSG00000186496,ZNF396,1.3,40.4792746114,-0.320232708827,NA,NA,NA,NM_145756
ENSG00000187140,FOXD3,0.4,29.4689119171,1.46522046428,ENSMUSG00000067261,90,1,NM_012183
ENSG00000185610,DBX2,0,21.8264248705,-0.279301948972,ENSMUSG00000045608,71,0,NM_001004329
ENSG00000172262,ZNF131,9,81.1528497409,-0.362000509558,ENSMUSG00000094870,88,1,NM_003432
ENSG00000169926,KLF13,23,93.7176165803,0.330103577989,ENSMUSG00000052040,94,1,NM_015995
ENSG00000114853,ZBTB47,4.3,66.3212435233,-0.544381573534,ENSMUSG00000013419,74,1,NM_145166
ENSG00000073861,TBX21,0.3,28.1735751295,-0.404012486074,ENSMUSG00000001444,87,0,NM_013351
ENSG00000126012,KDM5C,15.4,89.6373056995,-0.419489999058,ENSMUSG00000025332,95,0,NM_001146702
ENSG00000214022,REPIN1,34.4,96.4378238342,2.15318911634,ENSMUSG00000052751,77,1,NM_001099696
ENSG00000129514,FOXA1,12.5,86.5284974093,0.394342491546,ENSMUSG00000035451,95,0,NM_004496
ENSG00000186812,ZNF397,8.3,79.2098445596,-0.228912006999,ENSMUSG00000024276,83,0,NM_032347
ENSG00000214029,,0.3,28.1735751295,-0.741058653133,NA,NA,NA,NM_001277291
ENSG00000183733,FIGLA,0,21.8264248705,-0.179605302027,ENSMUSG00000030001,58,0,NM_001004311
ENSG00000186564,FOXD2,3.2,59.4559585492,4.25011038898,ENSMUSG00000055210,94,1,NM_004474
ENSG00000119138,KLF9,24.4,94.3652849741,0.093013521018,ENSMUSG00000033863,97,0,NM_001206
ENSG00000141027,NCOR1,35.3,96.6321243523,1.32637570047,ENSMUSG00000018501,92,1,NM_001190438
ENSG00000125945,ZNF436,4.8,68.9119170984,-0.626560338672,ENSMUSG00000051351,91,1,NM_030634
ENSG00000108264,TADA2A,0,21.8264248705,nan,NA,NA,NA,NA
ENSG00000162419,GMEB1,4,65.3497409326,0.403845416885,ENSMUSG00000028901,93,0,NM_006582
ENSG00000066422,ZBTB11,5.4,71.4378238342,-0.444557831173,ENSMUSG00000022601,89,1,NM_014415
ENSG00000116809,ZBTB17,4.5,67.4222797927,-0.793971798121,ENSMUSG00000006215,91,0,NM_001287603
ENSG00000153896,ZNF599,1.8,46.5025906736,-0.527151418791,NA,NA,NA,NM_001007248
ENSG00000108064,TFAM,18.6,91.774611399,0.50385627894,ENSMUSG00000003923,61,0,NM_001270782
ENSG00000144485,HES6,10.8,84.3911917098,0.957058403616,ENSMUSG00000067071,86,1,NM_001282434
ENSG00000121406,ZNF549,1.6,44.3652849741,-0.694465372461,NA,NA,NA,NM_001199295
ENSG00000172468,HSFY1,0,21.8264248705,-0.181253906118,ENSMUSG00000045336,36,1,NM_152584
ENSG00000067082,KLF6,72.9,98.7046632124,0.0162849247533,ENSMUSG00000000078,95,1,NM_001160125
ENSG00000172466,ZNF24,15.5,89.896373057,-0.213263638359,ENSMUSG00000051469,95,1,NM_001308123
ENSG00000233608,TWIST2,3.2,59.4559585492,0.0455493818771,ENSMUSG00000007805,100,0,NM_001271893
ENSG00000153879,CEBPG,24.5,94.4300518135,1.87382561289,ENSMUSG00000056216,91,0,NM_001252296
ENSG00000174428,GTF2IRD2B,6.7,75.518134715,0.112324998469,ENSMUSG00000015942,79,1,NM_001003795
ENSG00000164651,SP8,0,21.8264248705,-0.206962863509,ENSMUSG00000048562,94,1,NM_198956
ENSG00000196843,ARID5A,3.1,58.4196891192,-0.541722981356,ENSMUSG00000037447,74,1,NM_212481
ENSG00000119919,NKX2-3,6.2,73.9637305699,1.1101223561,ENSMUSG00000044220,90,0,NM_145285
ENSG00000137504,,6.8,75.9715025907,-0.585512373706,ENSMUSG00000051451,83,0,NM_001039618
ENSG00000067066,SP100,31.6,96.0492227979,-0.411679622043,ENSMUSG00000094915,7,1,NM_001206703
ENSG00000100426,ZBED4,5.2,70.7901554404,1.41886280643,ENSMUSG00000034333,79,0,NM_014838
ENSG00000101115,SALL4,0,21.8264248705,-0.449850915071,ENSMUSG00000027547,74,0,NM_020436
ENSG00000126767,ELK1,9.6,82.5777202073,-0.169072524334,ENSMUSG00000009406,86,1,NM_001257168
ENSG00000174738,NR1D2,8.5,79.792746114,-0.77082125946,ENSMUSG00000021775,91,0,NM_001145425
ENSG00000170616,SCRT1,0,21.8264248705,nan,NA,NA,NA,NA
ENSG00000130182,ZSCAN10,0,21.8264248705,-0.258198889747,ENSMUSG00000023902,65,1,NM_001282416
ENSG00000072736,NFATC3,6.8,75.9715025907,-0.489378202078,ENSMUSG00000031902,89,1,NM_004555
ENSG00000196150,ZNF250,2.6,53.6917098446,-0.485275620314,ENSMUSG00000054967,82,0,NM_001109689
ENSG00000196152,ZNF79,2.4,52.3316062176,0.0774854997302,NA,NA,NA,NM_001286697
ENSG00000081386,ZNF510,3.1,58.4196891192,-0.453390983351,NA,NA,NA,NM_014930
ENSG00000154957,ZNF18,3.7,63.3419689119,-0.25261515722,ENSMUSG00000018347,78,0,NM_001303282
