mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2687.50974,96.0347100176,1.37633474913,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,5.05684,30.783172232,-0.564330989573,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3844.47411,97.1331282953,0.152298267189,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,890.84594,90.2625219684,-0.473318363872,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.210456942,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,913.47692,90.4382688928,-1.46075011466,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,916.84416,90.4657293497,-0.791124139894,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,17.03068,50.8457820738,-0.658298181598,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,5.32142,33.1063268893,-0.139231304304,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.66572,23.8027240773,-0.348792463062,NA,NA,NA
ENSMUSG00000083012,Fam220a,44.09132,59.8637961336,-0.321146111888,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,80.20352,65.7513181019,-0.997531726603,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.210456942,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,11.14085,46.4026801406,-0.889182121736,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.210456942,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.210456942,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,396.25718,83.6335676626,-0.497908008092,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.64622,22.5010984183,-0.475316970436,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.210456942,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.210456942,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.210456942,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.210456942,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,14.10207,48.8741212654,1.68820269198,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,113.18781,69.216827768,-0.857810134114,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,104.86725,68.3655536028,-0.861821487856,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.210456942,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,22.5560193322,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,21.210456942,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,37.68736,58.2875659051,-0.971393110346,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,158.50544,73.1985940246,2.25607856783,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,21.210456942,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,21.210456942,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,668.77844,88.3457820738,0.116797402161,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,21.210456942,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.210456942,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,49.5771089631,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,8559.36266,98.7752636204,-1.25266359837,NA,NA,NA
ENSMUSG00000020758,Itgb4,5.58435,34.7759226714,-0.378576929284,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.210456942,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,21.210456942,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,699.15763,88.730228471,-0.262038508399,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,21.210456942,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,276.97622,79.6957381371,2.40026302481,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,29390.68873,99.8352372583,2.46437619325,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,27.2847100176,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,31.49535,56.546572935,-0.315770288103,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,221.84828,76.894771529,-0.452606762195,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,522.7433,86.2148506151,0.81123632528,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,4.893,28.9048769772,-0.53818728241,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.66742,23.9070738137,-0.130328364782,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,16377.64238,99.4837434095,-1.73959223344,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.70496,25.4723198594,-0.326358908831,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,21.05128,52.9657293497,3.60926307754,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,6.31208,37.8514938489,-0.255242588111,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,311.66117,81.0138400703,-0.592742246896,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,21.210456942,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,40.10825,58.9411247803,-0.492918462722,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.63584,21.210456942,-0.375256853748,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.64989,22.8141476274,-0.19276949706,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,4.71747,25.7579086116,-0.170866817971,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,491.46051,85.6436731107,-0.00433047569163,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,4.8441,28.2018892794,-0.183027973264,NA,NA,NA
ENSMUSG00000021598,Med10,979.65561,90.8666520211,-0.395737040221,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,5.24472,32.5626098418,-0.0884596989463,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,5.07956,31.0907293497,-0.133932898553,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,21.210456942,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,95.14961,67.3989455185,-0.911460408868,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,344.33536,82.1561950791,-0.490333659905,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,8.60914,43.3051405975,-0.467971434422,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,731.23852,89.0652460457,-0.4578874958,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,1726.45284,94.1619068541,-1.06691640665,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.74962,26.4114674868,-0.217882121755,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,12.69292,47.8471001757,-0.538692943405,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,6.8779,39.691344464,-0.118392226297,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,51.47762,61.2368189807,-0.365527055174,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,370.82897,82.974516696,-0.94420037444,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,4.63584,21.210456942,-1.66508045096,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,51.26294,61.2148506151,4.06537517491,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,10.01929,45.1285149385,-0.224514217767,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,99.39826,67.8053602812,2.91563321632,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,1016.13666,91.119288225,-0.670660855601,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,4.93151,29.4431019332,-0.426909637819,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,574.80345,87.0496485062,-0.868334710603,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,73.02808,64.8176625659,-0.503710461471,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,3294.36385,96.6827768014,1.21787772983,ENSG00000118432,97,1
ENSMUSG00000054537,Tmprss11e,4.63584,21.210456942,-0.129205751722,ENSG00000087128,76,1
ENSMUSG00000030001,Figla,4.63584,21.210456942,-0.229184951099,ENSG00000183733,58,0
ENSMUSG00000022960,Donson,117.8656,69.7275922671,-0.294137683623,ENSG00000159147,77,1
ENSMUSG00000087029,Gm14133,4.63584,21.210456942,-0.202942035384,NA,NA,NA
ENSMUSG00000030924,2610020H08Rik,4.82969,27.9767135325,-0.252684932531,ENSG00000005189,36,1
ENSMUSG00000044287,Nrn1l,4.63584,21.210456942,-0.164046418312,ENSG00000188038,74,1
ENSMUSG00000021061,Sptb,288.58626,80.118629174,0.673380016317,ENSG00000070182,91,1
ENSMUSG00000054074,Skida1,4.68997,24.8572056239,-0.18130678316,ENSG00000180592,92,1
ENSMUSG00000041536,Serpina3a,4.63584,21.210456942,-0.117658559847,ENSG00000273259,51,0
ENSMUSG00000054072,Iigp1,5.61259,34.9297012302,-0.343801348817,NA,NA,NA
ENSMUSG00000045007,Tubg2,110.14925,68.9312390158,2.57922882868,ENSG00000037042,98,1
ENSMUSG00000001270,Ckb,23476.14836,99.730887522,2.33194415063,ENSG00000166165,97,0
ENSMUSG00000041671,Pyroxd1,32.60938,56.9200351494,-1.31163582613,ENSG00000121350,85,0
ENSMUSG00000030922,Lyrm1,45.33322,60.138400703,-0.0100401548693,ENSG00000102897,88,0
ENSMUSG00000010392,Gosr1,11.38226,46.6168717047,-1.064766533,ENSG00000108587,98,0
ENSMUSG00000006958,Chrd,35.56617,57.7932776801,2.29911219792,ENSG00000090539,86,0
ENSMUSG00000054079,Utp18,118.46851,69.7880052724,-1.01302762304,ENSG00000011260,81,1
ENSMUSG00000034957,Cebpa,14.1606,48.9510105448,-0.376619797378,ENSG00000245848,92,1
ENSMUSG00000046818,Ddit4l,120.56046,69.9857205624,-0.137633053181,ENSG00000145358,93,0
ENSMUSG00000031671,Setd6,4.63584,21.210456942,-0.420479191076,ENSG00000103037,78,1
ENSMUSG00000096225,Lhx8,4.63584,21.210456942,-0.275448836429,ENSG00000162624,91,0
ENSMUSG00000048285,Frmd6,655.28146,88.1974956063,0.676663785111,ENSG00000139926,94,0
ENSMUSG00000084980,Slc36a1os,4.66256,23.6379613357,-0.367713017933,NA,NA,NA
ENSMUSG00000048280,Zfp65 /// Zfp738,180.2377,74.6594903339,-0.805127296485,ENSG00000196350,35,0
ENSMUSG00000048281,Dleu7,88.66092,66.7289103691,0.681858585668,ENSG00000186047,83,1
ENSMUSG00000087579,1500017E21Rik,4.63584,21.210456942,-0.139302035736,NA,NA,NA
ENSMUSG00000058569,Tmed9,681.71699,88.5160369069,-0.50664149855,ENSG00000184840,94,0
ENSMUSG00000034402,Kcnh5,101.13251,67.9756151142,6.75465491264,ENSG00000140015,98,1
ENSMUSG00000036766,Dner,2794.94296,96.1939806678,0.94742846502,ENSG00000187957,90,0
ENSMUSG00000036764,Dnajc12,223.25675,76.966168717,-0.144290840068,ENSG00000108176,76,0
ENSMUSG00000055805,Fmnl1,6.99534,40.0263620387,0.067210739507,ENSG00000184922,88,1
ENSMUSG00000070319,Eif3g,1720.86964,94.1344463972,-1.01272807471,ENSG00000130811,98,0
ENSMUSG00000036769,Wdr44,78.92641,65.5426186292,-0.53806091176,ENSG00000131725,92,1
ENSMUSG00000072244,Trim6,4.63584,21.210456942,-0.147904155289,ENSG00000121236,76,0
ENSMUSG00000021583,Erap1,6.06549,36.9947275923,-0.924694273435,ENSG00000164307,84,1
ENSMUSG00000086999,Bcas1os2,4.64767,22.6219244288,-0.175283954576,NA,NA,NA
ENSMUSG00000021587,Pcsk1,66.04186,63.7631810193,0.147738551526,ENSG00000175426,93,0
ENSMUSG00000074384,AI429214,10.75933,45.9248681898,-0.198007864569,ENSG00000164743,50,1
ENSMUSG00000021585,Cast,22.72015,53.8005272408,-0.777788832799,ENSG00000153113,67,1
