mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1710.10012,94.3760984183,0.0922353247648,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,9.46026,42.5801845343,-0.287979128363,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3988.65765,97.2374780316,0.195160619952,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1543.38291,93.8708260105,0.395393823592,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,19.2607644991,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,1540.28979,93.848857645,-1.08627249015,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1182.66996,92.4538664323,-0.72145545501,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,20.67809,51.3565465729,-0.632699536144,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,5.95763,34.7978910369,-0.138052247803,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.6477,20.9523286467,-0.348919886533,NA,NA,NA
ENSMUSG00000083012,Fam220a,56.81135,61.7805360281,-0.287099196538,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,104.7137,68.4973637961,-0.946165319086,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,19.2607644991,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,8.41866,41.0423989455,-1.01634861334,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,19.2607644991,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,19.2607644991,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,459.03352,85.0999560633,-0.346576325967,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.77842,34.0894112478,-0.466986460114,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,19.2607644991,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,19.2607644991,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,19.2607644991,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,19.2607644991,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,20.80183,51.4499121265,3.60985147506,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,73.4287,64.5540421793,-0.955345015017,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,90.09069,66.9211335677,-0.968016698502,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,19.2607644991,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,5.02418,28.8554481547,-0.110326011102,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.83228,26.499340949,-0.106487607301,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,44.33274,59.0564586995,-0.954295536241,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,73.219,64.5210896309,0.855622396719,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,19.2607644991,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,19.2607644991,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,1099.68376,92.1078646749,0.412696821967,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,19.2607644991,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,19.2607644991,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,15.9333,48.5775483304,-0.291617771133,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,6454.28023,98.3413884007,-1.5324960342,NA,NA,NA
ENSMUSG00000020758,Itgb4,187.17968,75.1592706503,1.82296087894,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,19.2607644991,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.65381,21.4850615114,-0.146052605873,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,438.98235,84.6605887522,-0.800740698159,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,19.2607644991,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,189.87688,75.2855887522,0.982346469245,ENSG00000185324,97,0
