mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,32.75532,60.3910369069,1.17398298018,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,71.70306,67.3550087873,0.518298999525,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,20.7875659051,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.7875659051,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.7875659051,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,74.29204,67.6625659051,-0.516478525834,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,48.56346,63.8949912127,-0.29142717702,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,43.76643,62.9393673111,-0.164104717852,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,42.8712653779,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,7.19389,42.2836115993,-0.549581578624,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,6.49998,39.6583919156,1.94667428241,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,6.41403,39.3343585237,1.11728532358,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,99.63892,70.7820738137,0.407524830329,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,202.12374,78.394112478,0.00247953310943,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,11.60757,50.2636203866,-0.318551947213,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.91496,27.0595342707,-0.573949055227,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.7875659051,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1217.29698,94.4035588752,-0.215675067945,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,45.69326,63.3457820738,-0.334345692337,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,1353.27913,94.8868629174,-0.275584294626,ENSG00000060138,74,0
