mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,27.11403,60.0670035149,0.819944303167,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,57.15305,66.9595782074,0.0781901504775,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,20.3701669596,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.3701669596,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.73497,23.0997363796,-0.172254177573,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,10.58322,49.9670474517,-0.785083051204,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,72.44594,69.1234622144,-0.27774122339,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,122.77488,74.7253954306,0.0764938231321,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,43.579745167,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,8.3479,46.0017574692,-0.548450840069,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.3701669596,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,21.7706502636,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.8287,25.4448594025,-0.320045199952,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,39.12223,63.4226713533,-0.458615413959,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,11.60757,51.1698154657,-0.318551947213,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.75775,36.2038664323,-0.37166625129,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.3701669596,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1592.37822,96.5235061511,0.129278885196,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,9.32776,47.9953866432,-0.383098920478,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,520.39582,89.5869947276,-0.485019135128,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.3701669596,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.51385,67.3550087873,-0.405830345815,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.16913,30.8930140598,-0.173287310959,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,208.28187,80.3822495606,0.0829505647032,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.3701669596,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,763.54132,92.6625659051,0.884956799069,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,6.16663,38.6039103691,0.444392155013,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,934.12235,93.8598418278,-0.494012387922,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,187.61418,79.2398945518,0.738818513988,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,46.05343,64.9494727592,-0.578380660934,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,64.54635,68.0470123023,-0.703222346875,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,6.95713,42.1078646749,0.0477303318427,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,502.36046,89.2519771529,1.19956815778,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.77452,24.165202109,-0.11507906101,ENSG00000164749,90,0
