mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1053.65094,91.3938927944,-0.770193279289,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,9.29009,44.1069859402,-0.298658735628,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,16066.21972,99.236599297,3.78553387588,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1411.60619,93.2502196837,0.219961552394,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,18.8378734622,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,1166.35447,92.0639279438,-1.30967315254,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1763.47236,94.315685413,-0.56923644773,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,40.00034,59.7155096661,-0.497090041427,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,8.90563,43.4094903339,-0.132588865329,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.6753,19.9747363796,-0.348724720729,NA,NA,NA
ENSMUSG00000083012,Fam220a,711.30484,88.5270210896,1.46474293365,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,493.39923,85.5393233743,-0.131590341253,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.8186,24.1871704745,-0.10785371099,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,11.97898,47.2539543058,-0.850029067907,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,18.8378734622,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,5.0466,27.757029877,-0.107196606188,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,850.85307,89.9384885764,0.597962836259,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.88874,38.7576889279,-0.458816938634,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,18.8378734622,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,5.83552,34.1223637961,1.88809201269,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,18.8378734622,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.74077,22.2649384886,-0.107292096306,NA,NA,NA
ENSMUSG00000001802,Lrp3,9.9476,44.9307996485,0.496602960068,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,229.98023,78.2677943761,-0.571301337138,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,291.04875,80.6348857645,0.476215484959,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,18.8378734622,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,7.03983,39.2135325132,-0.109313042912,NA,NA,NA
ENSMUSG00000035420,Fam170a,5.07475,28.0975395431,-0.1029550873,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,94.5876,68.6072056239,-0.82499725789,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.70551,21.0456942004,-0.269411546248,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,18.8378734622,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,18.8378734622,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,33.74935,57.9415641476,-0.319272264584,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,5.67399,33.3095342707,-0.0158424830543,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.82367,24.3134885764,-0.135976813865,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,16.03324,50.4887961336,-0.284164195779,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,8214.22038,98.4237697715,-1.29854398934,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,20.3207381371,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,18.8378734622,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.97408,26.9057557118,-0.118260717659,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,519.8426,85.9622144112,-0.633316668714,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,18.8378734622,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,30.45586,57.0024165202,-1.61291663564,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,11132.64441,98.841168717,0.381695385946,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,15.45396,50.071397188,-0.13103007036,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,29.73749,56.7607644991,-0.336883437939,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,197.93417,76.5542618629,-0.580234052829,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,54.48319,62.9558435852,-1.3396015909,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,7.08011,39.3233743409,-0.515072277781,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,18.8378734622,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,23356.31506,99.5935852373,-1.1954696874,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.90514,25.862258348,-0.32493138615,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,18.8378734622,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,10.48877,45.5184534271,-0.1223078406,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,223.83624,77.9986818981,-0.847594272902,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,18.8378734622,-0.157497169991,ENSG00000180772,92,1
