mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.89068,28.6028119508,-0.57475893541,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,32.68876,56.1291739895,-0.66180593988,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,33.08429,56.2170474517,0.894781571737,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.1889279438,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,6.06135,36.4235500879,2.43601720898,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,99.41083,67.6570738137,-0.410574497697,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,99.25268,67.6296133568,-0.26237951051,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.1889279438,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,40.1197275923,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,94.85733,67.1408172232,-0.463685935221,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.77929,26.7849297012,-0.0617058669465,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,5.47561,33.7049648506,0.273228178958,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,20.1889279438,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,158.23719,72.6548769772,-0.121665736767,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,15.88313,49.0443760984,-0.218963127156,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,7.39584,40.0812829525,0.0215010125617,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.1889279438,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,903.64399,90.2625219684,-0.504134812865,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,7.33579,39.9714411248,-0.385769445229,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,110.28694,68.8104130053,-0.588144130959,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.1889279438,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,44.3561,58.9356326889,-0.781072732843,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,6.14907,36.7970123023,-0.171957550579,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,190.81609,74.8407293497,-0.111122502727,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.1889279438,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,342.05425,81.617970123,-0.517106064788,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.3864235501,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,983.56783,90.8117311072,-0.453616613679,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,18.90354,50.8567662566,-0.819230175073,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,122.18042,69.9143233743,0.692169143435,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,183.18272,74.4013620387,0.2953428461,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,30.7062829525,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,31.44076,55.7666959578,-0.782294278167,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63869,21.1829964851,-0.116070517912,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,20.1889279438,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,20.1889279438,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.1889279438,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,4.69466,24.6704745167,-0.444463338929,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,10232.38599,98.8960896309,0.279003613482,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,20.1889279438,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.63584,20.1889279438,-0.433156748578,NA,NA,NA
ENSMUSG00000008193,Spib,4.65633,23.006370826,-0.312269491437,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,15.74457,48.9180579965,-0.441726818749,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,35.11292,56.7552724077,-0.327833118515,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,43.98759,58.8422671353,-0.117345994059,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,931.91767,90.5151581722,-1.00909127119,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.96786,29.5968804921,-0.292475864122,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.1889279438,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,63.33313,62.7306678383,0.00196592445115,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,5.20907,31.7497803163,-0.383225940788,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,147.80745,71.9189367311,0.132658182955,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.68286,24.1487258348,-0.108351026368,NA,NA,NA
ENSMUSG00000035041,Creb3l3,18.74695,50.7469244288,-0.13243629567,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,1784.73514,94.2552724077,-0.00357004945834,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.78856,26.966168717,-0.32179242499,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,30.16266,55.3328207381,-0.213873873755,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,7.06182,39.3288664323,-0.0896248258242,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,35.36131,56.8266695958,0.693606820257,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,20.1889279438,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,139.76183,71.3752196837,0.0788517295434,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,80.49645,65.3833479789,-0.472946764796,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.81244,27.4439806678,-0.264965244127,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.65761,23.0503075571,-0.422555984892,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,126.55494,70.2108963093,-0.567127123575,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,20.1889279438,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,359.52362,82.2001318102,0.98899847418,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,9.84492,43.9147627417,0.23449073188,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.71588,25.4064147627,-0.182743255584,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.71616,25.4228910369,-0.17585072067,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,5.11011,30.8875219684,-0.55869613758,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,14.81435,48.3358963093,-0.78429928941,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,524.41728,85.8249121265,1.71833691404,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.66825,23.6928822496,-0.217455794363,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,22.35968,52.4659490334,-0.0621030861461,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,4.88699,28.5533831283,-0.278782123535,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,433.99435,84.007029877,-0.414310878864,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,165.60461,73.1217047452,-0.221977324815,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,81.82091,65.5810632689,-0.628902426178,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,84.83922,66.0039543058,-0.218059260369,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,793.43774,89.4167398946,3.2472995279,NA,NA,NA
ENSMUSG00000078861,Zfp931,1277.56981,92.5801845343,1.40943012322,NA,NA,NA
ENSMUSG00000032897,Nfyc,352.03045,81.9804481547,-1.49857761353,ENSG00000066136,94,0
ENSMUSG00000075045,4933403O03Rik /// Gm4981 /// Gm9919,4.63584,20.1889279438,-0.577470888189,NA,NA,NA
ENSMUSG00000039841,Zfp800,139.88014,71.3862038664,-0.392576366655,ENSG00000048405,94,1
ENSMUSG00000009734,Pou6f2,4.63584,20.1889279438,-0.299343357625,ENSG00000106536,85,0
ENSMUSG00000043059,Zfp513,38.247,57.6559753954,-0.692208157627,ENSG00000163795,95,0
ENSMUSG00000049577,Zfpm1,12.30794,46.4630931459,-0.380283847965,ENSG00000179588,67,1
ENSMUSG00000049576,Zfa-ps /// Zfx,4.63584,20.1889279438,-0.464041160059,NA,NA,NA
ENSMUSG00000078768,Zfp566,31.05299,55.6293936731,-0.350621643726,ENSG00000186017,74,1
ENSMUSG00000023781,Hes7,4.63584,20.1889279438,-0.150918681849,ENSG00000179111,90,0
ENSMUSG00000019826,Zbtb24,61.89737,62.4835237258,-0.766150412602,ENSG00000112365,82,0
ENSMUSG00000036144,Meox2,4.63584,20.1889279438,-0.300972119109,ENSG00000106511,98,1
ENSMUSG00000029127,Zbtb49,4.63584,20.1889279438,-0.254746467044,ENSG00000168826,74,0
ENSMUSG00000025529,Zfp711,164.22319,73.0612917399,3.09602569445,ENSG00000147180,95,0
ENSMUSG00000037868,Egr2,13.57914,47.4077328647,-0.512192712177,ENSG00000122877,89,0
ENSMUSG00000079560,Hoxa3,4.63584,20.1889279438,-0.373698409377,ENSG00000105997,94,0
ENSMUSG00000002578,Ikzf4,4.63584,20.1889279438,-0.135831034441,ENSG00000123411,97,0
