mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1675.8745,93.75,0.0472704522677,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.95627,30.6184094903,-0.57064260797,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3307.87754,96.4685852373,-0.00721918864997,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,915.44519,90.0153778559,-0.440569769907,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.64156,22.1001757469,-0.284547872648,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2587.46525,95.5788664323,-0.46065709923,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,3634.11541,96.8420474517,-0.0789708633495,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,118.14063,69.0850175747,0.0513225525462,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,11.81935,46.9518892794,-0.127189012282,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,25.367970123,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,2043.84729,94.6342267135,5.03147665956,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,881.39735,89.663884007,0.681544019571,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.0347100176,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,14.5023,48.9125659051,-0.732152743483,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.0347100176,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.0347100176,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,400.87125,82.5296572935,-0.486785107736,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.53953,39.3014059754,-0.461386358797,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.0347100176,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,5.27722,33.6555360281,0.847081766063,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.0347100176,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.0347100176,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,39.4881370826,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,458.4609,83.7873462214,-0.010805014738,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,185.6726,74.2530755712,-0.281094907066,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.0347100176,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.63584,21.0347100176,-0.110521172002,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.64949,23.0557996485,-0.109150655641,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,936.39531,90.1911247803,1.34084874399,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.0347100176,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.90937,30.0142794376,-0.174002463906,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.79935,28.196397188,-0.132480170614,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,169.08986,73.2150702988,-0.226334961361,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.66309,24.038884007,-0.155757642377,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.81091,28.421572935,-0.135989594638,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,15.77496,49.7363796134,-0.303426847795,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,21556.75166,99.4178383128,0.475102959079,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.6604,23.8466608084,-0.389778268315,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.0347100176,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,21.0347100176,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,702.67458,87.8569859402,-0.254756538082,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,38.97712,57.8921353251,-0.109946295698,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,55.535,61.5224077329,-1.20464571413,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,3510.17772,96.704745167,-0.487793415885,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,6.40753,38.8235940246,-0.132913943056,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,11.81083,46.9354130053,-0.552195384647,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,302.29748,79.6188488576,-0.0232571677634,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,257.72193,77.8778558875,-0.406074308318,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,166.51411,73.0173550088,1.1699447758,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63897,21.6278558875,-0.130401572134,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,52272.6941,99.9231107206,1.05912148014,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,27.6856326889,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,21.0347100176,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,36.7750439367,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,877.09329,89.6034710018,1.04803926412,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,21.0347100176,-0.157497169991,ENSG00000180772,92,1
