mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2426.85955,95.9523286467,1.03389821885,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,6.19014,36.4619947276,-0.493206826012,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3953.07078,97.4846221441,0.184581486053,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,752.13415,89.7352811951,-0.657983184499,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.6008347979,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,949.83956,91.360940246,-1.43902593556,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1122.17049,92.3000878735,-0.737311397176,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,31.24742,55.9863796134,-0.558520726699,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,6.78665,38.263400703,-0.136515866074,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.6753,23.670913884,-0.348724720729,NA,NA,NA
ENSMUSG00000083012,Fam220a,60.9706,62.6867311072,-0.275966390037,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,108.63639,69.2333040422,-0.937944469908,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.6008347979,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,10.23434,44.2937170475,-0.931529531836,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,20.6008347979,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.6008347979,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,418.29087,84.7759226714,-0.444792529058,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.67955,23.8796133568,-0.475071734692,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.6008347979,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.6008347979,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.6008347979,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,20.6008347979,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,20.29966,51.6421353251,3.46581730527,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,102.37478,68.5358084359,-0.884336069761,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,77.35983,65.3613796134,-1.05951000678,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,20.6008347979,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.75843,26.0544815466,-0.110459564198,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.6008347979,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,57.69958,62.2473637961,-0.91990464551,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,21.11595,51.9606766257,5.80431576155e-05,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.6008347979,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.6008347979,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,475.98824,85.9567223199,-0.015590168093,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,20.6008347979,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.6008347979,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,48.6489455185,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,8901.86215,98.9455184534,-1.20713451828,NA,NA,NA
ENSMUSG00000020758,Itgb4,7.77471,40.7128734622,-0.352022499973,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.6008347979,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,20.6008347979,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,566.91375,87.4780316344,-0.535854175046,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,20.6008347979,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,198.69147,76.3400702988,1.12584185155,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,15982.19672,99.4947275923,0.934880017501,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,26.6915641476,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,116.75037,70.0186731107,0.708203186202,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,141.66161,72.2319859402,-0.880555259425,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,572.6045,87.5549209139,1.04026151281,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,4.93945,28.8279876977,-0.537696364274,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,20.6008347979,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,14522.75994,99.4178383128,-1.88421620452,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.70496,24.8352372583,-0.326358908831,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,19.36979,51.1423550088,3.20118807713,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,6.27701,36.7311072056,-0.256358788163,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,189.94816,75.8128295255,-0.945931337849,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,20.6008347979,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,83.1315,66.0863356766,-0.456221596151,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.63584,20.6008347979,-0.375256853748,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.67536,23.6818980668,-0.138641915752,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,4.83347,27.4494727592,-0.170784043207,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,218.49839,77.4275043937,-0.38274552655,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,5.03193,29.7781195079,-0.180634197143,NA,NA,NA
ENSMUSG00000021598,Med10,1025.43832,91.8332601054,-0.337846875157,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,20.6008347979,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,5.97542,35.6766256591,-0.123392678945,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,20.6008347979,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,101.91665,68.4644112478,-0.893154006227,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,446.39852,85.4624340949,-0.223341036538,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,15.43486,48.9345342707,-0.441971649044,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,617.94437,88.235940246,-0.52417614747,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,1666.68498,94.315685413,-1.09865276721,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.65592,22.7152899824,-0.235178327481,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,8.44467,41.8387521968,-0.666477918592,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,7.9949,41.0643673111,-0.113816476964,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,57.1499,62.1649824253,-0.313190943882,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,281.68111,80.5744727592,-1.15230420798,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,6.32224,36.8684094903,-0.609380757623,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,33.25102,56.6014938489,2.32158843145,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,6.91984,38.7137521968,-0.231329525161,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,28.35576,55.019771529,0.508600829522,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,669.58161,88.8730228471,-0.759965560294,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,5.80709,34.9132249561,0.103406286282,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,446.23367,85.4569420035,-0.966415986669,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,52.41559,61.1599297012,-0.615536747988,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,3422.01142,97.1221441125,1.27628705772,ENSG00000118432,97,1
ENSMUSG00000054537,Tmprss11e,4.63584,20.6008347979,-0.129205751722,ENSG00000087128,76,1
ENSMUSG00000030001,Figla,4.63584,20.6008347979,-0.229184951099,ENSG00000183733,58,0
ENSMUSG00000022960,Donson,83.46146,66.1302724077,-0.487980939983,ENSG00000159147,77,1
ENSMUSG00000087029,Gm14133,4.63584,20.6008347979,-0.202942035384,NA,NA,NA
ENSMUSG00000030924,2610020H08Rik,5.17772,31.0248242531,-0.249688580086,ENSG00000005189,36,1
ENSMUSG00000044287,Nrn1l,4.63584,20.6008347979,-0.164046418312,ENSG00000188038,74,1
ENSMUSG00000021061,Sptb,414.03363,84.671572935,1.1332201699,ENSG00000070182,91,1
ENSMUSG00000054074,Skida1,4.88178,28.2018892794,-0.157287176794,ENSG00000180592,92,1
