mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1713.13929,93.6676186292,0.0962281199733,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.64502,21.8365553603,-0.590176178877,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3302.45361,96.4685852373,-0.0088315946224,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,2401.82987,95.2328646749,1.53823073664,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.4800087873,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2144.36956,94.7605448155,-0.725376331015,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,14971.62355,99.2970123023,2.89240844586,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,24.62994,55.0417398946,-0.604964237113,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,7.87543,43.5248242531,-0.134498083994,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.66933,23.8466608084,-0.348766935941,NA,NA,NA
ENSMUSG00000083012,Fam220a,66.97596,63.1370826011,-0.259892215403,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,812.39378,88.8181019332,0.536932046228,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.4800087873,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,9.63686,46.2763620387,-0.959440675217,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,8.0898,43.8873022847,-0.0895744986016,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.4800087873,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,738.85288,88.1041300527,0.327969760028,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.64103,21.2214411248,-0.47535515746,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63595,20.5074692443,-0.116203591031,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.4800087873,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.4800087873,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.64026,21.1006151142,-0.107347395438,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.56463,40.355887522,-0.473712421932,ENSG00000130881,93,1
