ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0.1,26.4248704663,-0.692183477136,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,1,36.0103626943,-0.405291892428,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,24.2875647668,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,24.2875647668,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,4.9,64.5077720207,0.156084331973,NA,NA,NA,NM_023074
ENSG00000079263,SP140,2.5,49.8704663212,-0.23717325213,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,3.3,56.4766839378,-0.315228712161,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,7.5,72.9274611399,0.429595466458,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,23.4,91.0621761658,-0.155583468076,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,5.4,67.1632124352,0.0411714847242,NA,NA,NA,NM_001289166
ENSG00000198416,,0,24.2875647668,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.4,30.1813471503,-0.132771010333,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,24.2875647668,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,24.2875647668,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,23.6,91.3212435233,0.514189239019,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,24.2875647668,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.4,48.3808290155,-0.651424435135,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,16.6,87.5,-0.0830846427355,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,24.2875647668,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,8.2,74.7409326425,1.16628356406,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,24.2875647668,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,3.2,55.5051813472,-0.441563014048,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,3.8,59.3264248705,-0.297636949638,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,3.5,57.7720207254,-0.256359445673,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,38.1,95.9844559585,2.42800696231,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,2.8,52.5259067358,0.36702732911,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,3.3,56.4766839378,-0.241497273556,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,47.1,97.0207253886,1.73258930654,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,9.7,78.3678756477,0.882014585564,ENSMUSG00000033883,41,1,NM_003414
