mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,3167.19667,97.2484622144,2.00653696741,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,13.81631,52.4494727592,-0.0146001354391,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2598.7525,96.5454745167,-0.218025273849,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1622.87498,94.6232425308,0.501220363988,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.8315026362,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,5972.23712,98.5610720562,1.56151154157,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,2327.25603,96.1884885764,-0.421477777022,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,120.12758,72.0123022847,0.0652675789032,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,12.67073,51.3785149385,-0.125611191871,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,22.4791300527,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,175.59209,75.5711775044,0.0308338429286,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,673.08422,88.5544815466,0.244978595456,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.8315026362,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,58.34857,65.8611599297,1.31611586584,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,20.8315026362,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.8315026362,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,829.0667,90.2789982425,0.545443558781,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.73087,23.1656414763,-0.474694131981,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.8315026362,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.8315026362,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.8315026362,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,5.29674,29.6957381371,-0.106986209744,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.56463,38.4666080844,-0.473712421932,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,578.64863,87.30228471,0.284032971611,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,405.56796,84.007029877,1.29923461993,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,20.8315026362,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,7.28078,41.5202108963,-0.109191953097,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.8315026362,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,410.83532,84.0949033392,-0.0113389225855,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,20.8315026362,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.8315026362,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.8315026362,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,11.09812,49.3684094903,-0.334826692677,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,20.8315026362,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.8315026362,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,23.84404,58.3260105448,0.298369188012,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,24836.75304,99.7418717047,0.911119507692,NA,NA,NA
