mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,30.585456942,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,27.37752,55.9094903339,-0.822460380902,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.3308435852,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.3308435852,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.3308435852,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,123.71553,67.4318980668,-0.308102777019,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,32.46142,56.9914323374,-0.30065451743,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,22.3308435852,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,44.046572935,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,19.0684,53.5808435852,-0.537946526696,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.3308435852,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,24.1267574692,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,22.3308435852,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,8.08803,45.3207381371,-0.546404249818,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,16.51007,52.4989015817,-0.204360077533,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,9.59828,47.4461775044,0.550121118048,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,22.3308435852,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,743.74374,86.8189806678,-0.651191550082,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,214.19407,73.1985940246,-0.108445912827,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,1831.38687,93.480887522,-0.155360468471,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.3308435852,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,93.09415,64.7297891037,0.425477198451,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.72611,25.4833040422,-0.173888480872,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,253.84161,75.0768892794,0.58919297089,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,22.3308435852,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,358.87066,79.157513181,-0.461166830485,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.49636,36.3192003515,-0.185121143104,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1753.61635,93.2282513181,0.175494604777,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,97.65704,65.1856326889,-0.0919388350958,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,200.08035,72.3802724077,1.99230909146,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,62.43357,61.4510105448,-0.721005667188,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,32.2221001757,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,229.70232,73.9180579965,0.0520881829098,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,22.3308435852,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,22.3308435852,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,22.3308435852,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,22.3308435852,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,4.63584,22.3308435852,-0.444900610004,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,822.0969,87.7581282953,-0.794420688455,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.80534,27.3670913884,-0.158455070445,NA,NA,NA
ENSMUSG00000074366,Obox5,5.23762,34.0839191564,0.100052192288,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,24.165202109,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,8.13699,45.4086115993,-0.521664547507,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,37.03377,57.848198594,-0.253384711625,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,6.96984,42.9097100176,-0.173906604905,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,5252.36633,97.5065905097,0.796801343566,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,6.54623,41.6465289982,-0.105177836683,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,22.3308435852,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,49.26483,59.7869068541,-0.333812788182,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.89231,29.2069420035,-0.384246801481,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,39.55319,58.3260105448,-0.743261077463,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,22.3308435852,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,35.01748,57.5461335677,-0.101552537772,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,440.27474,81.3873022847,-0.483963794391,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,5.19909,33.6555360281,-0.0483595787826,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,66.80329,61.9288224956,-0.163807397406,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.691,37.5604130053,-0.242964186786,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,22.3308435852,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,22.3308435852,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,149.42719,69.1893673111,0.178404922706,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,101.75167,65.6304920914,-0.29188030821,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,22.3308435852,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.87528,28.8554481547,-0.274579147178,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,94.62804,64.8835676626,-1.02478731394,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,22.3308435852,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,37.54165,57.9305799649,-1.17684327513,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,4.65833,23.5665641476,-0.445067147497,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.91932,29.6847539543,-0.168953185431,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.71616,25.2416520211,-0.17585072067,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,69.24235,62.203427065,0.739239621894,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,35.47909,57.6065465729,0.321490593044,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,176.4407,70.9358523726,-0.283389461206,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,22.3308435852,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,22.56536,54.7945957821,-0.0522354072199,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,5.69102,37.571397188,-0.276082703899,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,881.68578,88.3457820738,0.317893439907,ENSG00000072310,77,1
